time,event
0.0,0
29.63,100
29.63,200
61.65,100
62.12,100
65.9,100
65.9,200
87.7,100
90.23,100
93.57,100
95.22,100
97.53,100
97.53,200
179.78,100
179.92,100
182.83,100
185.54,100
189.34,100
190.46,100
191.47,100
191.47,200
212.84,100
214.05,100
215.86,100
217.17,100
243.45,100
244.71,100
270.84,100
271.43,100
277.88,100
277.88,200
284.32,100
287.12,100
290.17,100
291.01,100
291.54,100
292.23,100
293.04,100
294.82,100
296.56,100
297.91,100
300.69,100
300.69,200
313.48,100
314.81,100
341.22,100
341.54,100
342.11,100
343.16,100
343.6,100
345.95,100
346.67,100
348.68,100
349.83,100
352.05,100
353.77,100
353.77,200
397.26,100
398.59,100
399.2,100
400.88,100
417.18,100
417.68,100
425.84,100
427.65,100
428.89,100
430.01,100
430.95,100
431.61,100
433.57,100
435.94,100
436.58,100
436.58,200
464.72,100
465.77,100
476.62,100
477.58,100
479.19,100
480.61,100
537.92,100
540.67,100
541.63,100
542.76,100
545.22,100
546.24,100
547.05,100
548.55,100
567.5,100
569.26,100
570.49,100
570.49,200
614.42,100
615.6,100
622.03,100
658.59,100
659.08,100
660.54,100
661.43,100
662.71,100
664.34,100
666.58,100
668.04,100
669.38,100
670.89,100
696.64,100
697.54,100
697.92,100
699.11,100
699.72,100
700.64,100
700.64,200
715.41,100
717.97,100
720.93,100
722.82,100
723.75,100
725.05,100
726.76,100
727.84,100
729.39,100
730.82,100
748.66,100
749.79,100
751.86,100
755.72,100
760.39,100
761.97,100
763.01,100
764.52,100
766.58,100
767.75,100
769.57,100
769.57,200
800.33,100
800.99,100
802.62,100
804.13,100
815.21,100
816.33,100
818.18,100
820.86,100
823.25,100
825.15,100
826.47,100
828.85,100
830.4,100
832.87,100
833.89,100
834.2,100
835.14,100
836.64,100
838.23,100
840.24,100
841.22,100
842.43,100
843.71,100
843.71,200
895.24,100
896.26,100
898.0,100
898.86,100
900.19,100
901.3,100
902.31,100
904.76,100
907.09,100
908.37,100
910.77,100
911.65,100
912.55,100
913.4,100
914.18,100
971.05,100
984.81,100
985.92,100
986.93,100
987.88,100
989.25,100
993.18,100
994.25,100
996.43,100
997.66,100
997.66,200
999.14,100
1015.65,100
1017.29,100
1028.63,100
1030.12,100
1031.4,100
1035.25,100
1037.37,100
1039.01,100
1040.72,100
1054.3,100
1054.79,100
1055.8,100
1063.38,100
1075.16,100
1075.8,100
1078.72,100
1079.24,100
1080.97,100
1082.94,100
1084.71,100
1087.25,100
1167.18,100
1168.35,100
1169.13,100
1175.53,100
1179.25,100
1179.25,200
1228.94,100
1245.94,100
1247.24,100
1248.27,100
1251.35,100
1252.54,100
1253.81,100
1255.53,100
1256.59,100
1258.35,100
1260.3,100
1262.15,100
1264.46,100
1266.55,100
1268.9,100
1272.97,100
1275.79,100
