Subject,UserID,Protocol,Run,Time,Current State,Transition State,Transition Event,A1 - LEFT,A2 - RIGHT,A[1] LEFT,A[2] RIGHT
BA1653,BL,4,1,0,0,1,0,0,0,0,0
BA1653,BL,4,1,50,1,2,0,0,0,0,0
BA1653,BL,4,1,51,2,3,0,0,0,0,0
BA1653,BL,4,1,870,3,5,1,1,0,0,0
BA1653,BL,4,1,880,5,4,0,0,0,0,0
BA1653,BL,4,1,899,4,0,0,0,0,1,0
BA1653,BL,4,1,982,4,5,1,1,0,0,0
BA1653,BL,4,1,992,5,4,0,0,0,0,0
BA1653,BL,4,1,1023,4,0,0,0,0,1,0
BA1653,BL,4,1,1063,4,5,1,1,0,0,0
BA1653,BL,4,1,1073,5,4,0,0,0,0,0
BA1653,BL,4,1,1104,4,0,0,0,0,1,0
BA1653,BL,4,1,1179,4,5,1,1,0,0,0
BA1653,BL,4,1,1189,5,4,0,0,0,0,0
BA1653,BL,4,1,1219,4,0,0,0,0,1,0
BA1653,BL,4,1,1237,4,5,1,1,0,0,0
BA1653,BL,4,1,1243,5,0,0,0,0,1,0
BA1653,BL,4,1,1247,5,9,0,0,0,0,0
BA1653,BL,4,1,1257,9,10,0,0,0,0,0
BA1653,BL,4,1,1332,10,2,0,0,0,0,0
BA1653,BL,4,1,1333,2,6,0,0,0,0,0
BA1653,BL,4,1,1536,6,8,2,0,1,0,0
BA1653,BL,4,1,1546,8,7,0,0,0,0,0
BA1653,BL,4,1,1548,7,0,0,0,0,0,1
BA1653,BL,4,1,1654,7,8,2,0,1,0,0
BA1653,BL,4,1,1664,8,7,0,0,0,0,0
BA1653,BL,4,1,1677,7,0,0,0,0,0,1
BA1653,BL,4,1,1695,7,8,2,0,1,0,0
BA1653,BL,4,1,1699,8,0,0,0,0,0,1
BA1653,BL,4,1,1702,8,0,0,0,1,0,0
BA1653,BL,4,1,1705,8,7,0,0,0,0,0
BA1653,BL,4,1,1707,7,0,0,0,0,0,1
BA1653,BL,4,1,1710,7,8,2,0,1,0,0
BA1653,BL,4,1,1720,8,7,0,0,0,0,0
BA1653,BL,4,1,1722,7,0,0,0,0,0,1
BA1653,BL,4,1,1775,7,8,2,0,1,0,0
BA1653,BL,4,1,1782,8,0,0,0,0,0,1
BA1653,BL,4,1,1785,8,7,0,0,0,0,0
BA1653,BL,4,1,1787,7,8,2,0,1,0,0
BA1653,BL,4,1,1797,8,7,0,0,0,0,0
BA1653,BL,4,1,1816,7,0,0,0,0,0,1
BA1653,BL,4,1,1879,7,8,2,0,1,0,0
BA1653,BL,4,1,1886,8,0,0,0,0,0,1
BA1653,BL,4,1,1889,8,7,0,0,0,0,0
BA1653,BL,4,1,1904,7,8,2,0,1,0,0
BA1653,BL,4,1,1907,8,0,0,0,0,0,1
BA1653,BL,4,1,1910,8,0,0,0,1,0,0
BA1653,BL,4,1,1914,8,7,0,0,0,0,0
BA1653,BL,4,1,1947,7,0,0,0,0,0,1
BA1653,BL,4,1,1950,7,8,2,0,1,0,0
BA1653,BL,4,1,1960,8,7,0,0,0,0,0
BA1653,BL,4,1,1981,7,0,0,0,0,0,1
BA1653,BL,4,1,2000,7,8,2,0,1,0,0
BA1653,BL,4,1,2010,8,7,0,0,0,0,0
BA1653,BL,4,1,2023,7,0,0,0,0,0,1
BA1653,BL,4,1,2026,7,8,2,0,1,0,0
BA1653,BL,4,1,2036,8,7,0,0,0,0,0
BA1653,BL,4,1,2065,7,0,0,0,0,0,1
BA1653,BL,4,1,2113,7,8,2,0,1,0,0
BA1653,BL,4,1,2123,8,7,0,0,0,0,0
BA1653,BL,4,1,2130,7,0,0,0,0,0,1
BA1653,BL,4,1,2208,7,8,2,0,1,0,0
BA1653,BL,4,1,2218,8,7,0,0,0,0,0
BA1653,BL,4,1,2240,7,0,0,0,0,0,1
BA1653,BL,4,1,2243,7,8,2,0,1,0,0
BA1653,BL,4,1,2246,8,0,0,0,0,0,1
BA1653,BL,4,1,2253,8,7,0,0,0,0,0
BA1653,BL,4,1,2267,7,8,2,0,1,0,0
BA1653,BL,4,1,2270,8,0,0,0,0,0,1
BA1653,BL,4,1,2277,8,7,0,0,0,0,0
BA1653,BL,4,1,2287,7,8,2,0,1,0,0
BA1653,BL,4,1,2297,8,7,0,0,0,0,0
BA1653,BL,4,1,2325,7,0,0,0,0,0,1
BA1653,BL,4,1,2391,7,8,2,0,1,0,0
BA1653,BL,4,1,2401,8,7,0,0,0,0,0
BA1653,BL,4,1,2408,7,0,0,0,0,0,1
