Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGH	A3 - 	A4 - 	A[1] LEFT	A[2] RIGH	A[3] 	A[4] 
A	AG	23	139	1	1	BA1650	0	0	1	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	50	1	2	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	51	2	3	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	1153	3	5	1	1	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	1156	5	0	0	0	0	0	0	1	0	0	0
A	AG	23	139	1	1	BA1650	1161	5	0	0	1	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	1163	5	4	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	1164	4	0	0	0	0	0	0	1	0	0	0
A	AG	23	139	1	1	BA1650	1176	4	5	1	1	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	1186	5	4	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	1197	4	0	0	0	0	0	0	1	0	0	0
A	AG	23	139	1	1	BA1650	1199	4	5	1	1	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	1209	5	4	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	1212	4	0	0	0	0	0	0	1	0	0	0
A	AG	23	139	1	1	BA1650	1216	4	5	1	1	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	1226	5	4	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	1261	4	0	0	0	0	0	0	1	0	0	0
A	AG	23	139	1	1	BA1650	1263	4	5	1	1	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	1272	5	0	0	0	0	0	0	1	0	0	0
A	AG	23	139	1	1	BA1650	1273	5	9	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	1276	9	0	0	1	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	1278	9	0	0	0	0	0	0	1	0	0	0
A	AG	23	139	1	1	BA1650	1283	9	10	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	1358	10	2	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	1359	2	6	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2181	6	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2186	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2191	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2240	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2246	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2248	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2250	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2265	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2282	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2288	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2292	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2294	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2304	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2305	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2308	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2316	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2318	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2319	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2323	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2327	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2329	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2348	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2353	7	8	2	0	1	0	0	0	0	0	0
