Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGHT	A3 - 	A4 - 	A[1] LEFT	A[2] RIGHT	A[3] 	A[4] 
A	AG	21	132	9	1	BA1651	0	0	1	0	0	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	50	1	2	0	0	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	51	2	3	0	0	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	111	3	0	0	0	1	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	118	3	0	0	0	0	0	0	0	1	0	0
A	AG	21	132	9	1	BA1651	173	3	5	1	1	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	183	5	4	0	0	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	185	4	0	0	0	0	0	0	1	0	0	0
A	AG	21	132	9	1	BA1651	199	4	5	1	1	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	209	5	4	0	0	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	234	4	0	0	0	0	0	0	1	0	0	0
A	AG	21	132	9	1	BA1651	249	4	5	1	1	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	259	5	4	0	0	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	270	4	0	0	0	0	0	0	1	0	0	0
A	AG	21	132	9	1	BA1651	276	4	5	1	1	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	286	5	4	0	0	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	295	4	0	0	0	0	0	0	1	0	0	0
A	AG	21	132	9	1	BA1651	300	4	5	1	1	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	310	5	9	0	0	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	318	9	0	0	0	0	0	0	1	0	0	0
A	AG	21	132	9	1	BA1651	320	9	10	0	0	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	395	10	2	0	0	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	396	2	6	0	0	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	410	6	0	0	1	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	431	6	0	0	0	0	0	0	1	0	0	0
A	AG	21	132	9	1	BA1651	669	6	8	2	0	1	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	679	8	7	0	0	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	681	7	0	0	0	0	0	0	0	1	0	0
A	AG	21	132	9	1	BA1651	686	7	8	2	0	1	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	692	8	0	0	0	0	0	0	0	1	0	0
A	AG	21	132	9	1	BA1651	693	8	0	0	0	1	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	696	8	7	0	0	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	702	7	0	0	0	0	0	0	0	1	0	0
A	AG	21	132	9	1	BA1651	705	7	8	2	0	1	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	715	8	7	0	0	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	758	7	0	0	0	0	0	0	0	1	0	0
A	AG	21	132	9	1	BA1651	761	7	8	2	0	1	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	763	8	0	0	0	0	0	0	0	1	0	0
A	AG	21	132	9	1	BA1651	765	8	0	0	0	1	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	771	8	7	0	0	0	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	773	7	0	0	0	0	0	0	0	1	0	0
A	AG	21	132	9	1	BA1651	775	7	8	2	0	1	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	778	8	0	0	0	0	0	0	0	1	0	0
A	AG	21	132	9	1	BA1651	779	8	0	0	0	1	0	0	0	0	0	0
A	AG	21	132	9	1	BA1651	783	8	0	0	0	0	0	0	0	1	0	0
A	AG	21	132	9	1	BA1651	784	8	0	0	0	1	0	0	0	0	0	0
