Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - 	A2 - 	A3 - 	A4 - 	A[1] 	A[2] 	A[3] 	A[4] 
A	EF	18	121	1	2	BA1652	0	0	1	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	50	1	2	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	51	2	3	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	593	3	5	1	1	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	603	5	4	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	657	4	0	0	0	0	0	0	1	0	0	0
A	EF	18	121	1	2	BA1652	662	4	5	1	1	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	672	5	4	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	697	4	0	0	0	0	0	0	1	0	0	0
A	EF	18	121	1	2	BA1652	705	4	5	1	1	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	715	5	4	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	726	4	0	0	0	0	0	0	1	0	0	0
A	EF	18	121	1	2	BA1652	767	4	5	1	1	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	771	5	0	0	0	0	0	0	1	0	0	0
A	EF	18	121	1	2	BA1652	773	5	0	0	1	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	777	5	4	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	791	4	0	0	0	0	0	0	1	0	0	0
A	EF	18	121	1	2	BA1652	798	4	5	1	1	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	804	5	0	0	0	0	0	0	1	0	0	0
A	EF	18	121	1	2	BA1652	808	5	9	0	1	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	817	9	0	0	0	0	0	0	1	0	0	0
A	EF	18	121	1	2	BA1652	818	9	10	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	893	10	2	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	894	2	3	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	948	3	5	1	1	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	958	5	4	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	966	4	0	0	0	0	0	0	1	0	0	0
A	EF	18	121	1	2	BA1652	1027	4	5	1	1	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1037	5	4	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1059	4	0	0	0	0	0	0	1	0	0	0
A	EF	18	121	1	2	BA1652	1060	4	5	1	1	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1068	5	0	0	0	0	0	0	1	0	0	0
A	EF	18	121	1	2	BA1652	1069	5	0	0	1	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1070	5	4	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1091	4	0	0	0	0	0	0	1	0	0	0
A	EF	18	121	1	2	BA1652	1107	4	5	1	1	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1112	5	0	0	0	0	0	0	1	0	0	0
A	EF	18	121	1	2	BA1652	1117	5	4	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1118	4	5	1	1	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1121	5	0	0	0	0	0	0	1	0	0	0
A	EF	18	121	1	2	BA1652	1128	5	9	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1138	9	10	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1213	10	2	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1214	2	3	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1249	3	5	1	1	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1259	5	4	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1285	4	0	0	0	0	0	0	1	0	0	0
A	EF	18	121	1	2	BA1652	1287	4	5	1	1	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1297	5	4	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1303	4	0	0	0	0	0	0	1	0	0	0
A	EF	18	121	1	2	BA1652	1316	4	5	1	1	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1322	5	0	0	0	0	0	0	1	0	0	0
A	EF	18	121	1	2	BA1652	1326	5	4	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1351	4	5	1	1	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1361	5	4	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1386	4	0	0	0	0	0	0	1	0	0	0
A	EF	18	121	1	2	BA1652	1399	4	5	1	1	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1409	5	9	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1414	9	0	0	0	0	0	0	1	0	0	0
A	EF	18	121	1	2	BA1652	1419	9	10	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1494	10	2	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1495	2	6	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1941	6	8	2	0	1	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1948	8	0	0	0	0	0	0	0	1	0	0
A	EF	18	121	1	2	BA1652	1951	8	7	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1984	7	8	2	0	1	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	1994	8	7	0	0	0	0	0	0	0	0	0
A	EF	18	121	1	2	BA1652	2002	7	0	0	0	0	0	0	0	1	0	0
