Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGHT	A3 - 	A4 - 	A[1] LEFT	A[2] RIGHT	A[3] 	A[4] 
A	BL	4	85	1	1	BA1652	0	0	1	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	50	1	2	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	51	2	3	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	255	3	5	1	1	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	258	5	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	1	1	BA1652	265	5	4	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	277	4	5	1	1	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	280	5	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	1	1	BA1652	283	5	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	286	5	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	1	1	BA1652	287	5	4	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	318	4	5	1	1	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	328	5	4	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	333	4	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	1	1	BA1652	348	4	5	1	1	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	358	5	4	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	371	4	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	1	1	BA1652	377	4	5	1	1	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	387	5	9	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	396	9	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	1	1	BA1652	397	9	10	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	472	10	2	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	473	2	6	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	571	6	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	579	8	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	581	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	621	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	631	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	635	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	785	7	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	788	7	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	1	1	BA1652	833	7	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	852	7	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	1	1	BA1652	856	7	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	860	7	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	1	1	BA1652	863	7	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	886	7	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	1	1	BA1652	909	7	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	980	7	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	1	1	BA1652	1025	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1035	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1040	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	1050	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1060	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1078	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	1138	7	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1146	7	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	1	1	BA1652	1156	7	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1227	7	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	1	1	BA1652	1230	7	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1254	7	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	1	1	BA1652	1314	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1324	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1329	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	1343	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1353	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1389	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	1450	7	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1454	7	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	1	1	BA1652	1458	7	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1461	7	0	0	0	0	0	0	1	0	0	0
