Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - 	A2 - 	A3 - 	A4 - 	A[1] 	A[2] 	A[3] 	A[4] 
A	BL	2	38	1	1	BA1652	0	0	1	0	0	0	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	50	1	2	0	0	0	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	51	2	6	0	0	0	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	264	6	8	2	0	1	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	274	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	298	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	38	1	1	BA1652	495	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	505	8	9	0	0	0	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	515	9	10	0	0	0	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	518	10	0	0	0	0	0	0	0	1	0	0
A	BL	2	38	1	1	BA1652	590	10	2	0	0	0	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	591	2	6	0	0	0	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	604	6	8	2	0	1	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	613	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	38	1	1	BA1652	614	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	616	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	624	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	38	1	1	BA1652	626	8	9	0	0	1	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	636	9	10	0	0	0	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	640	10	0	0	0	0	0	0	0	1	0	0
A	BL	2	38	1	1	BA1652	711	10	2	0	0	0	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	712	2	6	0	0	0	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	720	6	8	2	0	1	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	730	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	781	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	38	1	1	BA1652	865	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	872	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	38	1	1	BA1652	875	8	9	0	0	0	0	0	0	0	0	0
A	BL	2	38	1	1	BA1652	885	9	10	0	0	0	0	0	0	0	0	0
