Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGH	A3 - 	A4 - 	A[1] LEFT	A[2] RIGH	A[3] 	A[4] 
A	BL	1	80	9	2	BA1651	0	0	1	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	50	1	2	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	51	2	3	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	360	3	5	1	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	370	5	4	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	414	4	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	438	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	448	5	4	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	456	4	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	469	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	479	5	4	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	492	4	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	515	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	525	5	4	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	542	4	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	551	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	561	5	9	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	571	9	10	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	576	10	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	646	10	2	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	647	2	6	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1085	6	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1095	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1113	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	1120	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1130	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1161	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	1168	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1172	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	1176	8	0	0	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1178	8	7	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	1199	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1209	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1215	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	1219	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1229	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1242	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	1255	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1265	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1267	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	1270	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1280	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1289	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	1294	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1302	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	1303	8	0	0	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1304	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1318	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	1333	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1343	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1365	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	1375	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1384	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	1385	8	9	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1395	9	10	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1470	10	2	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1471	2	6	0	0	0	0	0	0	0	0	0
