Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGHT	A3 - 	A4 - 	A[1] LEFT	A[2] RIGHT	A[3] 	A[4] 
A	BL	3	88	9	1	BA1651	0	0	1	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	50	1	2	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	51	2	3	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	521	3	5	1	1	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	527	5	0	0	0	0	0	0	1	0	0	0
A	BL	3	88	9	1	BA1651	531	5	4	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	542	4	5	1	1	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	552	5	4	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	557	4	0	0	0	0	0	0	1	0	0	0
A	BL	3	88	9	1	BA1651	561	4	5	1	1	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	571	5	4	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	589	4	0	0	0	0	0	0	1	0	0	0
A	BL	3	88	9	1	BA1651	606	4	5	1	1	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	616	5	4	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	630	4	0	0	0	0	0	0	1	0	0	0
A	BL	3	88	9	1	BA1651	635	4	5	1	1	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	645	5	9	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	655	9	10	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	658	10	0	0	0	0	0	0	1	0	0	0
A	BL	3	88	9	1	BA1651	730	10	2	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	731	2	6	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	750	6	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	751	8	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	752	8	0	0	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	759	8	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	760	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	846	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	853	8	0	0	0	1	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	856	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	858	7	8	2	0	1	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	866	8	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	868	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	929	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	935	8	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	938	8	0	0	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	939	8	7	0	0	0	0	0	0	0	0	0
