Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - 	A2 - 	A3 - 	A4 - 	A[1] 	A[2] 	A[3] 	A[4] 
A	AG	19	112	9	1	BA1651	0	0	1	0	0	0	0	0	0	0	0	0
A	AG	19	112	9	1	BA1651	50	1	2	0	0	0	0	0	0	0	0	0
A	AG	19	112	9	1	BA1651	51	2	6	0	0	0	0	0	0	0	0	0
A	AG	19	112	9	1	BA1651	382	6	8	2	0	1	0	0	0	0	0	0
A	AG	19	112	9	1	BA1651	392	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	112	9	1	BA1651	400	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	112	9	1	BA1651	415	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	112	9	1	BA1651	425	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	112	9	1	BA1651	426	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	112	9	1	BA1651	438	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	112	9	1	BA1651	448	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	112	9	1	BA1651	464	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	112	9	1	BA1651	471	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	112	9	1	BA1651	481	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	112	9	1	BA1651	493	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	112	9	1	BA1651	496	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	112	9	1	BA1651	506	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	112	9	1	BA1651	539	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	112	9	1	BA1651	877	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	112	9	1	BA1651	887	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	112	9	1	BA1651	890	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	112	9	1	BA1651	899	7	8	2	0	1	0	0	0	0	0	0
