date,Subject,UID,Protocol,run,time,totalResps,rightResps,leftResps,totalRate,leftRate,rightRate,total_incorrect,left_incorrect,right_incorrect,prop_lc,prop_rc,RR_prp,RL_prp,LR_prp,LL_prp
,,,,,,,,,,,,,,,,,,,,
92317,BA1650,ef,3,1,431.58,683,364,319,94.953,44.349,50.605,74,27,47,0.04,0.069,171.953,60.253,182.7,73.691
92417,BA1650,ef,3,2,332.96,623,306,317,112.266,57.124,55.142,52,29,23,0.047,0.037,112.82,61.564,124.269,71.861
092317,BA1650,AB,3,1,431.58,683,364,319,94.953,44.349,50.605,74,27,47,0.04,0.069,170.452695652,58.7526027397,181.199652174,72.1909589041
092417,BA1650,AB,3,2,332.96,623,306,317,112.266,57.124,55.142,52,29,23,0.047,0.037,111.319705882,60.0636363636,122.768529412,70.3605194805
092517,BA1650,AB,3,3,291.34,514,254,260,105.856,53.546,52.31,12,9,3,0.018,0.006,112.457857143,63.1978947368,119.290714286,74.6910526316
092617,BA1650,AB,3,4,298.26,612,325,287,123.114,57.735,65.379,38,8,30,0.013,0.049,142.08275,70.3257894737,153.51425,84.5210526316

092317,BA1650,BL,1,1,431.58,683,364,319,94.953,44.349,50.605,74,27,47,0.04,0.069,170.452695652,58.7526027397,181.199652174,72.1909589041
092417,BA1650,BL,1,2,332.96,623,306,317,112.266,57.124,55.142,52,29,23,0.047,0.037,111.319705882,60.0636363636,122.768529412,70.3605194805
092517,BA1650,BL,1,3,291.34,514,254,260,105.856,53.546,52.31,12,9,3,0.018,0.006,112.457857143,63.1978947368,119.290714286,74.6910526316
092617,BA1650,BL,1,4,298.26,612,325,287,123.114,57.735,65.379,38,8,30,0.013,0.049,142.08275,70.3257894737,153.51425,84.5210526316
092817,BA1650,BL,1,5,951.48,826,484,342,52.087,21.566,30.521,33,33,0,0.04,0.0,450.786666667,346.503703704,465.647619048,480.197037037

092317,BA1650,BL,1,1,431.58,683,364,319,94.953,44.349,50.605,74,27,47,0.04,0.069,170.452695652,58.7526027397,181.199652174,72.1909589041
092417,BA1650,BL,1,2,332.96,623,306,317,112.266,57.124,55.142,52,29,23,0.047,0.037,111.319705882,60.0636363636,122.768529412,70.3605194805
092517,BA1650,BL,1,3,291.34,514,254,260,105.856,53.546,52.31,12,9,3,0.018,0.006,112.457857143,63.1978947368,119.290714286,74.6910526316
092617,BA1650,BL,1,4,298.26,612,325,287,123.114,57.735,65.379,38,8,30,0.013,0.049,142.08275,70.3257894737,153.51425,84.5210526316
