Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - 	A2 - 	A3 - 	A4 - 	A[1] 	A[2] 	A[3] 	A[4] 
A	EF	8	23	9	1	BA1653	0	0	1	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	50	1	2	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	51	2	6	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	4064	6	8	2	0	1	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	4070	8	0	0	0	0	0	0	0	1	0	0
A	EF	8	23	9	1	BA1653	4074	8	9	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	4079	9	0	0	0	1	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	4084	9	10	0	0	0	0	0	0	1	0	0
A	EF	8	23	9	1	BA1653	4159	10	2	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	4160	2	6	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	4667	6	8	2	0	1	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	4677	8	9	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	4687	9	10	0	0	0	0	0	0	1	0	0
A	EF	8	23	9	1	BA1653	4762	10	2	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	4763	2	6	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	14529	6	8	2	0	1	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	14539	8	9	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	14546	9	0	0	0	0	0	0	0	1	0	0
A	EF	8	23	9	1	BA1653	14549	9	10	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	14624	10	2	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	14625	2	3	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	14850	3	0	0	0	1	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	14875	3	0	0	0	0	0	0	0	1	0	0
A	EF	8	23	9	1	BA1653	14959	3	5	1	1	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	14969	5	9	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	14978	9	0	0	0	0	0	0	1	0	0	0
A	EF	8	23	9	1	BA1653	14979	9	10	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	15054	10	2	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	15055	2	6	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	15506	6	8	2	0	1	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	15516	8	9	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	15526	9	10	0	0	0	0	0	0	1	0	0
A	EF	8	23	9	1	BA1653	15601	10	2	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	15602	2	6	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	15815	6	8	2	0	1	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	15825	8	9	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	15832	9	0	0	0	0	0	0	0	1	0	0
A	EF	8	23	9	1	BA1653	15835	9	10	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	15910	10	2	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	15911	2	3	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	16031	3	5	1	1	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	16041	5	9	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	16048	9	0	0	0	0	0	0	1	0	0	0
A	EF	8	23	9	1	BA1653	16051	9	10	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	16126	10	2	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	16127	2	6	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	16964	6	8	2	0	1	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	16974	8	9	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	16984	9	10	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	16987	10	0	0	0	0	0	0	0	1	0	0
A	EF	8	23	9	1	BA1653	17059	10	2	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	17060	2	6	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	17382	6	8	2	0	1	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	17392	8	9	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	17402	9	10	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	17404	10	0	0	0	0	0	0	0	1	0	0
A	EF	8	23	9	1	BA1653	17477	10	2	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	17478	2	3	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	17569	3	5	1	1	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	17579	5	9	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	17589	9	10	0	0	0	0	0	1	0	0	0
A	EF	8	23	9	1	BA1653	17664	10	2	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	17665	2	3	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	17772	3	5	1	1	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	17782	5	9	0	0	0	0	0	0	0	0	0
A	EF	8	23	9	1	BA1653	17791	9	0	0	0	0	0	0	1	0	0	0
A	EF	8	23	9	1	BA1653	17792	9	-1	0	0	0	0	0	0	0	0	0
