Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - 	A2 - 	A3 - 	A4 - 	A[1] 	A[2] 	A[3] 	A[4] 
A	BL	4	40	1	1	BA1652	0	0	1	0	0	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	50	1	2	0	0	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	51	2	3	0	0	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	196	3	5	1	1	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	199	5	0	0	0	0	0	0	1	0	0	0
A	BL	4	40	1	1	BA1652	203	5	0	0	1	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	205	5	0	0	0	0	0	0	1	0	0	0
A	BL	4	40	1	1	BA1652	206	5	4	0	0	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	225	4	5	1	1	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	235	5	9	0	0	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	240	9	0	0	0	0	0	0	1	0	0	0
A	BL	4	40	1	1	BA1652	245	9	10	0	0	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	320	10	2	0	0	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	321	2	6	0	0	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	364	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	383	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	40	1	1	BA1652	439	6	8	2	0	1	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	449	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	457	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	40	1	1	BA1652	505	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	512	8	0	0	0	0	0	0	0	1	0	0
A	BL	4	40	1	1	BA1652	515	8	9	0	0	1	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	525	9	10	0	0	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	528	10	0	0	0	0	0	0	0	1	0	0
A	BL	4	40	1	1	BA1652	600	10	2	0	0	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	601	2	6	0	0	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	658	6	8	2	0	1	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	668	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	696	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	40	1	1	BA1652	798	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	808	8	9	0	0	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	818	9	10	0	0	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	824	10	0	0	0	0	0	0	0	1	0	0
A	BL	4	40	1	1	BA1652	825	10	0	0	0	1	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	827	10	0	0	0	0	0	0	0	1	0	0
A	BL	4	40	1	1	BA1652	893	10	2	0	0	0	0	0	0	0	0	0
A	BL	4	40	1	1	BA1652	894	2	6	0	0	0	0	0	0	0	0	0
