Subject,UID,Protocol,Run,Time,curr_state,next_state,tx_event,l_lever,r_lever,l_lev_off,r_lev_off
BA1651,AG,6,1,0.0,0,1,0,0,0,0,0
BA1651,AG,6,1,1.0,1,2,0,0,0,0,0
BA1651,AG,6,1,1.02,2,6,0,0,0,0,0
BA1651,AG,6,1,1.34,6,0,0,0,0,1,0
BA1651,AG,6,1,80.14,6,0,0,1,0,0,0
BA1651,AG,6,1,80.6,6,0,0,0,0,1,0
BA1651,AG,6,1,81.94,6,0,0,1,0,0,0
BA1651,AG,6,1,82.62,6,0,0,0,0,1,0
BA1651,AG,6,1,129.12,6,0,0,1,0,0,0
BA1651,AG,6,1,129.6,6,0,0,0,0,1,0
BA1651,AG,6,1,131.38,6,0,0,1,0,0,0
BA1651,AG,6,1,132.24,6,0,0,0,0,1,0
BA1651,AG,6,1,142.12,6,0,0,1,0,0,0
BA1651,AG,6,1,143.04,6,0,0,0,0,1,0
BA1651,AG,6,1,143.68,6,0,0,1,0,0,0
BA1651,AG,6,1,145.02,6,0,0,0,0,1,0
BA1651,AG,6,1,153.44,6,0,0,1,0,0,0
BA1651,AG,6,1,154.22,6,0,0,0,0,1,0
BA1651,AG,6,1,162.28,6,0,0,1,0,0,0
BA1651,AG,6,1,162.86,6,0,0,0,0,1,0
BA1651,AG,6,1,162.92,6,0,0,1,0,0,0
BA1651,AG,6,1,163.46,6,0,0,0,0,1,0
BA1651,AG,6,1,165.6,6,0,0,1,0,0,0
BA1651,AG,6,1,167.66,6,0,0,0,0,1,0
BA1651,AG,6,1,168.06,6,0,0,1,0,0,0
BA1651,AG,6,1,168.76,6,0,0,0,0,1,0
BA1651,AG,6,1,169.12,6,0,0,1,0,0,0
BA1651,AG,6,1,171.24,6,0,0,0,0,1,0
BA1651,AG,6,1,173.42,6,0,0,1,0,0,0
BA1651,AG,6,1,173.82,6,0,0,0,0,1,0
BA1651,AG,6,1,174.76,6,0,0,1,0,0,0
BA1651,AG,6,1,174.84,6,0,0,0,0,1,0
BA1651,AG,6,1,198.36,6,0,0,1,0,0,0
BA1651,AG,6,1,198.7,6,0,0,0,0,1,0
BA1651,AG,6,1,214.54,6,0,0,1,0,0,0
BA1651,AG,6,1,215.14,6,0,0,0,0,1,0
BA1651,AG,6,1,215.64,6,0,0,1,0,0,0
BA1651,AG,6,1,216.2,6,0,0,0,0,1,0
BA1651,AG,6,1,218.04,6,0,0,1,0,0,0
BA1651,AG,6,1,218.76,6,0,0,0,0,1,0
BA1651,AG,6,1,218.82,6,0,0,1,0,0,0
BA1651,AG,6,1,219.36,6,0,0,0,0,1,0
BA1651,AG,6,1,223.14,6,0,0,1,0,0,0
BA1651,AG,6,1,226.6,6,0,0,0,0,1,0
BA1651,AG,6,1,226.74,6,0,0,1,0,0,0
BA1651,AG,6,1,227.58,6,0,0,0,0,1,0
BA1651,AG,6,1,227.98,6,0,0,1,0,0,0
BA1651,AG,6,1,228.6,6,0,0,0,0,1,0
BA1651,AG,6,1,228.72,6,0,0,1,0,0,0
BA1651,AG,6,1,229.28,6,0,0,0,0,1,0
BA1651,AG,6,1,231.86,6,0,0,1,0,0,0
BA1651,AG,6,1,232.58,6,0,0,0,0,1,0
BA1651,AG,6,1,244.58,6,0,0,1,0,0,0
BA1651,AG,6,1,244.82,6,0,0,0,0,1,0
BA1651,AG,6,1,244.88,6,0,0,1,0,0,0
BA1651,AG,6,1,245.52,6,0,0,0,0,1,0
BA1651,AG,6,1,267.56,6,0,0,1,0,0,0
