Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - 	A2 - 	A3 - 	A4 - 	A[1] 	A[2] 	A[3] 	A[4] 
A	AG	6	18	1	1	BA1650	0	0	1	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	50	1	2	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	51	2	6	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	2843	6	8	2	0	1	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	2853	8	9	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	2863	9	10	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	2865	10	0	0	0	0	0	0	0	1	0	0
A	AG	6	18	1	1	BA1650	2913	10	2	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	2914	2	6	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	3511	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	3522	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	1	1	BA1650	3556	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	3569	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	1	1	BA1650	3597	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	3601	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	1	1	BA1650	3643	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	3653	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	1	1	BA1650	3903	6	8	2	0	1	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	3913	8	9	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	3914	9	0	0	0	0	0	0	0	1	0	0
A	AG	6	18	1	1	BA1650	3923	9	10	0	0	1	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	3925	10	0	0	0	0	0	0	0	1	0	0
A	AG	6	18	1	1	BA1650	3973	10	2	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	3974	2	6	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	4127	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	4139	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	1	1	BA1650	4252	6	8	2	0	1	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	4262	8	9	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	4269	9	0	0	0	0	0	0	0	1	0	0
A	AG	6	18	1	1	BA1650	4272	9	10	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	4322	10	2	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	4323	2	3	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	4416	3	5	1	1	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	4426	5	9	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	4433	9	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	1	1	BA1650	4436	9	10	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	4486	10	2	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	4487	2	6	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	4791	6	8	2	0	1	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	4801	8	9	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	4808	9	0	0	0	0	0	0	0	1	0	0
A	AG	6	18	1	1	BA1650	4811	9	10	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	4861	10	2	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	4862	2	6	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	5240	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	5242	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	1	1	BA1650	5414	6	8	2	0	1	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	5424	8	9	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	5431	9	0	0	0	0	0	0	0	1	0	0
A	AG	6	18	1	1	BA1650	5434	9	10	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	5484	10	2	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	5485	2	3	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	5568	3	5	1	1	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	5578	5	9	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	5586	9	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	1	1	BA1650	5588	9	10	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	5638	10	2	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	5639	2	6	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	6195	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	6208	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	1	1	BA1650	6478	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	6504	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	1	1	BA1650	7016	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	7024	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	1	1	BA1650	7577	6	8	2	0	1	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	7587	8	9	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	7589	9	0	0	0	0	0	0	0	1	0	0
A	AG	6	18	1	1	BA1650	7597	9	10	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	7647	10	2	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	7648	2	6	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	7760	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	7782	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	1	1	BA1650	7835	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	7843	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	1	1	BA1650	8009	6	8	2	0	1	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	8019	8	9	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	8029	9	10	0	0	0	0	0	0	1	0	0
A	AG	6	18	1	1	BA1650	8079	10	2	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	8080	2	3	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	8336	3	5	1	1	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	8346	5	9	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	8353	9	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	1	1	BA1650	8356	9	10	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	8406	10	2	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	8407	2	3	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	8545	3	5	1	1	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	8555	5	9	0	0	0	0	0	0	0	0	0
A	AG	6	18	1	1	BA1650	8559	9	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	1	1	BA1650	8565	9	-1	0	0	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	0	0	1	0	0	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	50	1	2	0	0	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	51	2	6	0	0	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	67	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	4007	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	4030	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	4097	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	4131	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	6456	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	6480	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	6569	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	6612	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	7106	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	7152	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	7184	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	7251	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	7672	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	7711	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	8114	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	8143	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	8146	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	8173	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	8280	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	8383	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	8403	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	8438	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	8456	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	8562	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	8671	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	8691	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	8738	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	8742	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	9918	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	9935	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	10727	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	10757	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	10782	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	10810	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	10902	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	10938	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	10941	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	10968	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	11157	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	11330	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	11337	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	11379	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	11399	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	11430	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	11436	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	11464	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	11593	6	0	0	1	0	0	0	0	0	0	0
A	AG	6	18	9	1	BA1651	11629	6	0	0	0	0	0	0	1	0	0	0
A	AG	6	18	9	1	BA1651	12229	6	0	0	1	0	0	0	0	0	0	0
