Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - 	A2 - 	A3 - 	A4 - 	A[1] 	A[2] 	A[3] 	A[4] 
A	BL	7	19	1	1	BA1652	0	0	1	0	0	0	0	0	0	0	0	0
A	BL	7	19	1	1	BA1652	50	1	2	0	0	0	0	0	0	0	0	0
A	BL	7	19	1	1	BA1652	51	2	6	0	0	0	0	0	0	0	0	0
A	BL	7	19	1	1	BA1652	2274	6	8	2	0	1	0	0	0	0	0	0
A	BL	7	19	1	1	BA1652	2284	8	7	0	0	0	0	0	0	0	0	0
A	BL	7	19	1	1	BA1652	2304	7	0	0	0	0	0	0	0	1	0	0
A	BL	7	19	1	1	BA1652	2515	7	0	0	1	0	0	0	0	0	0	0
A	BL	7	19	1	1	BA1652	2528	7	0	0	0	0	0	0	1	0	0	0
A	BL	7	19	1	1	BA1652	3971	7	0	0	1	0	0	0	0	0	0	0
A	BL	7	19	1	1	BA1652	3984	7	0	0	0	0	0	0	1	0	0	0
A	BL	7	19	1	1	BA1652	4072	7	0	0	1	0	0	0	0	0	0	0
A	BL	7	19	1	1	BA1652	4075	7	0	0	0	0	0	0	1	0	0	0
A	BL	7	19	1	1	BA1652	4521	7	8	2	0	1	0	0	0	0	0	0
A	BL	7	19	1	1	BA1652	4525	8	0	0	0	0	0	0	0	1	0	0
A	BL	7	19	1	1	BA1652	4531	8	9	0	0	0	0	0	0	0	0	0
A	BL	7	19	1	1	BA1652	4541	9	10	0	0	0	0	0	0	0	0	0
A	BL	7	19	1	1	BA1652	4616	10	2	0	0	0	0	0	0	0	0	0
A	BL	7	19	1	1	BA1652	4617	2	6	0	0	0	0	0	0	0	0	0
A	BL	7	19	1	1	BA1652	5208	6	0	0	1	0	0	0	0	0	0	0
A	BL	7	19	1	1	BA1652	5224	6	0	0	0	0	0	0	1	0	0	0
A	BL	7	19	1	1	BA1652	5330	6	0	0	1	0	0	0	0	0	0	0
A	BL	7	19	1	1	BA1652	5347	6	0	0	0	0	0	0	1	0	0	0
A	BL	7	19	1	1	BA1652	5524	6	0	0	1	0	0	0	0	0	0	0
