date,subject,frval,runnum,trial,trial2,frpointer,frpointerB,borpointer,borpointer2,bolpointer,time,fr_irt,prp,fr_prp,uo_prp,event
12/11/17,BA1655,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,300
12/11/17,BA1655,25,1,0,1,0,0,1,0,0,32.64,0.0,0.0,0.0,0.0,130
12/11/17,BA1655,25,1,0,1,0,0,2,1,0,32.65,0.0,0.0,0.0,0.0,400
12/11/17,BA1655,25,1,0,1,0,0,0,0,0,42.65,0.0,0.0,0.0,0.0,410
12/11/17,BA1655,25,1,1,1,1,1,0,0,0,47.86,5.21,5.21,0.0,5.21,120
12/11/17,BA1655,25,1,1,1,2,2,0,0,0,48.3,0.44,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,3,3,0,0,0,48.48,0.18,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,4,4,0,0,0,48.84,0.36,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,5,5,0,0,0,49.28,0.44,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,6,6,0,0,0,49.58,0.3,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,7,7,0,0,0,50.1,0.52,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,8,8,0,0,0,50.42,0.32,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,9,9,0,0,0,51.56,1.14,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,10,10,0,0,0,52.01,0.45,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,11,11,0,0,0,52.7,0.69,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,12,12,0,0,0,53.12,0.42,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,13,13,0,0,0,53.38,0.26,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,14,14,0,0,0,53.74,0.36,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,15,15,0,0,0,54.12,0.38,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,16,16,0,0,0,54.58,0.46,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,17,17,0,0,0,54.96,0.38,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,18,18,0,0,0,55.66,0.7,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,19,19,0,0,0,55.95,0.29,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,20,20,0,0,0,56.32,0.37,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,21,21,0,0,0,56.8,0.48,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,22,22,0,0,0,57.14,0.34,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,23,23,0,0,0,57.75,0.61,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,24,24,0,0,0,59.67,1.92,0.0,0.0,0.0,120
12/11/17,BA1655,25,1,1,1,25,25,0,0,0,59.99,0.32,0.0,0.0,0.0,120
12/11/17,BA1655,0,1,0,0,-1,-1,0,0,0,60.0,0.0,0.0,0.0,0.0,200
12/11/17,BA1655,0,1,0,0,0,0,0,0,0,62.05,2.05,0.0,0.0,0.0,300
12/11/17,BA1655,50,1,2,2,1,1,0,0,0,69.54,7.49,5.44,5.44,0.0,120
12/11/17,BA1655,50,1,2,2,2,2,0,0,0,69.76,0.22,0.0,0.0,0.0,120
12/11/17,BA1655,50,1,2,2,3,3,0,0,0,70.14,0.38,0.0,0.0,0.0,120
12/11/17,BA1655,50,1,2,2,4,4,0,0,0,70.61,0.47,0.0,0.0,0.0,120
12/11/17,BA1655,50,1,2,2,5,5,0,0,0,71.18,0.57,0.0,0.0,0.0,120
12/11/17,BA1655,50,1,2,2,6,6,0,0,0,71.53,0.35,0.0,0.0,0.0,120
12/11/17,BA1655,50,1,2,2,7,7,0,0,0,71.79,0.26,0.0,0.0,0.0,120
12/11/17,BA1655,50,1,2,2,8,8,0,0,0,72.03,0.24,0.0,0.0,0.0,120
12/11/17,BA1655,50,1,2,2,9,9,0,0,0,72.35,0.32,0.0,0.0,0.0,120
12/11/17,BA1655,50,1,2,2,10,10,0,0,0,72.6,0.25,0.0,0.0,0.0,120
12/11/17,BA1655,50,1,2,2,11,11,0,0,0,72.87,0.27,0.0,0.0,0.0,120
12/11/17,BA1655,50,1,2,2,12,12,0,0,0,73.08,0.21,0.0,0.0,0.0,120
