date,runnum,FR25_Resp,FR100_Resp,FR25_rfr,FR100_rfr,FR25_Time,FR100_Time,FR25_Unobs,FR100_Unobs,p_BO|FR25,p_BO|FR100
12/28/17,2,1022.0,1278.0,39.0,12.0,9000.0,9000.0,0.0,0.0,0.0,0.0
12/29/17,3,1036.0,1310.0,40.0,11.0,9000.0,9000.0,0.0,0.0,0.0,0.0
12/30/17,4,945.0,1148.0,37.0,9.0,9000.0,9000.0,1.0,2.0,0.0111111111111,0.0222222222222
12/31/17,5,1070.0,1335.0,41.0,11.0,9000.0,9000.0,1.0,0.0,0.0111111111111,0.0
01/01/18,6,1030.0,1240.0,40.0,10.0,9000.0,9000.0,1.0,0.0,0.0111111111111,0.0
01/02/18,7,956.0,1064.0,36.0,8.0,9000.0,9000.0,0.0,0.0,0.0,0.0
01/04/18,8,1117.0,1240.0,43.0,10.0,9000.0,9000.0,0.0,0.0,0.0,0.0
01/05/18,9,971.0,1316.0,38.0,10.0,9000.0,9000.0,0.0,0.0,0.0,0.0
01/06/18,10,820.0,1338.0,31.0,10.0,9000.0,9000.0,1.0,0.0,0.0111111111111,0.0
01/07/18,11,850.0,1072.0,31.0,9.0,9000.0,9000.0,1.0,0.0,0.0111111111111,0.0
01/08/18,12,956.0,1065.0,36.0,7.0,9000.0,9000.0,1.0,0.0,0.0111111111111,0.0
01/09/18,13,918.0,1250.0,36.0,5.0,9000.0,9000.0,0.0,0.0,0.0,0.0
01/10/18,14,981.0,1147.0,38.0,5.0,9000.0,9000.0,0.0,2.0,0.0,0.0222222222222
01/11/18,15,996.0,1334.0,39.0,6.0,9000.0,9000.0,0.0,0.0,0.0,0.0
01/12/18,16,846.0,990.0,32.0,5.0,9000.0,9000.0,0.0,0.0,0.0,0.0
01/13/18,17,917.0,1198.0,36.0,5.0,9000.0,9000.0,1.0,0.0,0.0111111111111,0.0
