runnum,date,subject,eventnum,time,event
5,100317,BA1656,0,0,300
5,100317,BA1656,1,307,120
5,100317,BA1656,2,349,120
5,100317,BA1656,3,373,120
5,100317,BA1656,4,405,120
5,100317,BA1656,5,427,120
5,100317,BA1656,6,461,120
5,100317,BA1656,7,500,120
5,100317,BA1656,8,529,120
5,100317,BA1656,9,587,120
5,100317,BA1656,10,635,120
5,100317,BA1656,11,738,120
5,100317,BA1656,12,785,120
5,100317,BA1656,13,836,120
5,100317,BA1656,14,898,120
5,100317,BA1656,15,983,120
5,100317,BA1656,16,1068,120
5,100317,BA1656,17,1181,120
5,100317,BA1656,18,1206,120
5,100317,BA1656,19,1248,120
5,100317,BA1656,20,1379,120
5,100317,BA1656,21,1399,120
5,100317,BA1656,22,1457,120
5,100317,BA1656,23,1497,120
5,100317,BA1656,24,1518,120
5,100317,BA1656,25,1559,120
5,100317,BA1656,26,1560,200
5,100317,BA1656,27,1765,300
5,100317,BA1656,28,1921,120
5,100317,BA1656,29,1954,120
5,100317,BA1656,30,2093,120
5,100317,BA1656,31,2123,120
5,100317,BA1656,32,2229,120
5,100317,BA1656,33,2247,120
5,100317,BA1656,34,2301,120
5,100317,BA1656,35,2332,120
5,100317,BA1656,36,2369,120
5,100317,BA1656,37,2454,120
5,100317,BA1656,38,2511,120
5,100317,BA1656,39,2552,120
5,100317,BA1656,40,2620,120
5,100317,BA1656,41,2662,120
5,100317,BA1656,42,2704,120
5,100317,BA1656,43,2744,120
5,100317,BA1656,44,2767,120
5,100317,BA1656,45,2800,120
5,100317,BA1656,46,2831,120
5,100317,BA1656,47,2862,120
5,100317,BA1656,48,2960,120
5,100317,BA1656,49,2989,120
5,100317,BA1656,50,3020,120
5,100317,BA1656,51,3071,120
5,100317,BA1656,52,3106,120
5,100317,BA1656,53,3107,200
5,100317,BA1656,54,3312,300
5,100317,BA1656,55,3665,120
5,100317,BA1656,56,3684,120
5,100317,BA1656,57,3718,120
5,100317,BA1656,58,3752,120
5,100317,BA1656,59,3815,120
5,100317,BA1656,60,3902,120
5,100317,BA1656,61,3976,120
5,100317,BA1656,62,4005,120
5,100317,BA1656,63,4036,120
5,100317,BA1656,64,4054,120
5,100317,BA1656,65,4123,120
5,100317,BA1656,66,4441,120
5,100317,BA1656,67,4510,120
5,100317,BA1656,68,4539,120
5,100317,BA1656,69,4582,120
5,100317,BA1656,70,4852,120
5,100317,BA1656,71,4975,120
5,100317,BA1656,72,5102,120
5,100317,BA1656,73,5120,120
5,100317,BA1656,74,5202,120
5,100317,BA1656,75,5230,120
5,100317,BA1656,76,5352,120
5,100317,BA1656,77,5393,120
5,100317,BA1656,78,5407,120
5,100317,BA1656,79,5441,120
5,100317,BA1656,80,5442,200
5,100317,BA1656,81,5647,300
5,100317,BA1656,82,5995,120
5,100317,BA1656,83,6047,120
5,100317,BA1656,84,6076,120
5,100317,BA1656,85,6129,120
5,100317,BA1656,86,6209,120
5,100317,BA1656,87,6226,120
5,100317,BA1656,88,6246,120
5,100317,BA1656,89,6298,120
5,100317,BA1656,90,6390,120
5,100317,BA1656,91,6416,120
5,100317,BA1656,92,6457,120
5,100317,BA1656,93,6488,120
5,100317,BA1656,94,6552,120
5,100317,BA1656,95,6598,120
5,100317,BA1656,96,6615,120
5,100317,BA1656,97,6850,120
5,100317,BA1656,98,6867,120
5,100317,BA1656,99,6896,120
5,100317,BA1656,100,6927,120
5,100317,BA1656,101,6972,120
5,100317,BA1656,102,6999,120
5,100317,BA1656,103,7017,120
5,100317,BA1656,104,7076,120
5,100317,BA1656,105,7225,120
5,100317,BA1656,106,7242,120
5,100317,BA1656,107,7243,200
5,100317,BA1656,108,7448,300
5,100317,BA1656,109,7897,120
5,100317,BA1656,110,7960,120
5,100317,BA1656,111,8040,120
5,100317,BA1656,112,8064,120
5,100317,BA1656,113,8094,120
5,100317,BA1656,114,8129,120
5,100317,BA1656,115,8218,120
5,100317,BA1656,116,8242,120
5,100317,BA1656,117,8275,120
5,100317,BA1656,118,8411,120
5,100317,BA1656,119,8445,120
5,100317,BA1656,120,8493,120
5,100317,BA1656,121,8518,120
5,100317,BA1656,122,8713,120
5,100317,BA1656,123,8885,120
5,100317,BA1656,124,8907,120
5,100317,BA1656,125,8945,120
5,100317,BA1656,126,8973,120
5,100317,BA1656,127,9103,120
5,100317,BA1656,128,9196,120
5,100317,BA1656,129,9222,120
5,100317,BA1656,130,9238,120
5,100317,BA1656,131,9281,120
5,100317,BA1656,132,9322,120
5,100317,BA1656,133,9390,120
5,100317,BA1656,134,9391,200
5,100317,BA1656,135,9596,300
5,100317,BA1656,136,9873,120
5,100317,BA1656,137,9905,120
5,100317,BA1656,138,9951,120
5,100317,BA1656,139,9986,120
5,100317,BA1656,140,10019,120
5,100317,BA1656,141,10048,120
5,100317,BA1656,142,10276,120
5,100317,BA1656,143,10305,120
5,100317,BA1656,144,10340,120
5,100317,BA1656,145,10413,120
5,100317,BA1656,146,10433,120
5,100317,BA1656,147,10466,120
5,100317,BA1656,148,10524,120
5,100317,BA1656,149,10797,120
5,100317,BA1656,150,10826,120
5,100317,BA1656,151,10901,120
5,100317,BA1656,152,10936,120
5,100317,BA1656,153,10978,120
5,100317,BA1656,154,11019,120
5,100317,BA1656,155,11045,120
5,100317,BA1656,156,11093,120
5,100317,BA1656,157,11191,120
5,100317,BA1656,158,11219,120
5,100317,BA1656,159,11263,120
5,100317,BA1656,160,11280,120
5,100317,BA1656,161,11281,200
5,100317,BA1656,162,11486,300
5,100317,BA1656,163,11879,120
5,100317,BA1656,164,11893,120
5,100317,BA1656,165,11981,120
5,100317,BA1656,166,12003,120
5,100317,BA1656,167,12024,120
5,100317,BA1656,168,12049,120
5,100317,BA1656,169,12074,120
5,100317,BA1656,170,12196,120
5,100317,BA1656,171,12225,120
5,100317,BA1656,172,12266,120
5,100317,BA1656,173,12289,120
5,100317,BA1656,174,12439,120
5,100317,BA1656,175,12821,120
5,100317,BA1656,176,12842,120
5,100317,BA1656,177,12878,120
5,100317,BA1656,178,12900,120
5,100317,BA1656,179,12945,120
5,100317,BA1656,180,13033,120
5,100317,BA1656,181,13051,120
5,100317,BA1656,182,13083,120
5,100317,BA1656,183,13095,120
5,100317,BA1656,184,13139,120
5,100317,BA1656,185,13227,120
5,100317,BA1656,186,13545,120
5,100317,BA1656,187,13576,120
5,100317,BA1656,188,13577,200
5,100317,BA1656,189,13782,300
5,100317,BA1656,190,14763,120
5,100317,BA1656,191,14790,120
5,100317,BA1656,192,14859,120
5,100317,BA1656,193,14903,120
5,100317,BA1656,194,15012,120
5,100317,BA1656,195,15068,120
5,100317,BA1656,196,15157,120
5,100317,BA1656,197,15253,120
5,100317,BA1656,198,15278,120
5,100317,BA1656,199,15364,120
5,100317,BA1656,200,15471,120
5,100317,BA1656,201,15641,120
5,100317,BA1656,202,15659,120
