runnum,date,subject,eventnum,time,event
7,091917,BA1655,0,0,300
7,091917,BA1655,1,2138,100
7,091917,BA1655,2,2321,100
7,091917,BA1655,3,3000,310
7,091917,BA1655,4,3346,100
7,091917,BA1655,5,3394,100
7,091917,BA1655,6,3409,100
7,091917,BA1655,7,3435,100
7,091917,BA1655,8,3501,100
7,091917,BA1655,9,3506,300
7,091917,BA1655,10,6372,110
7,091917,BA1655,11,6506,310
7,091917,BA1655,12,6597,100
7,091917,BA1655,13,6636,100
7,091917,BA1655,14,6657,100
7,091917,BA1655,15,6708,100
7,091917,BA1655,16,6736,100
7,091917,BA1655,17,6741,300
7,091917,BA1655,18,9709,100
7,091917,BA1655,19,9950,100
7,091917,BA1655,20,10450,310
7,091917,BA1655,21,10998,100
7,091917,BA1655,22,11045,100
7,091917,BA1655,23,11069,100
7,091917,BA1655,24,11132,100
7,091917,BA1655,25,11172,100
7,091917,BA1655,26,11177,300
7,091917,BA1655,27,11976,110
7,091917,BA1655,28,13268,100
7,091917,BA1655,29,13999,100
7,091917,BA1655,30,14499,310
7,091917,BA1655,31,14819,100
7,091917,BA1655,32,14837,100
7,091917,BA1655,33,14875,100
7,091917,BA1655,34,14951,100
7,091917,BA1655,35,15003,100
7,091917,BA1655,36,15008,300
7,091917,BA1655,37,18008,310
7,091917,BA1655,38,18174,100
7,091917,BA1655,39,18202,100
7,091917,BA1655,40,18270,100
7,091917,BA1655,41,18321,100
7,091917,BA1655,42,18373,100
7,091917,BA1655,43,18378,300
7,091917,BA1655,44,21378,310
7,091917,BA1655,45,21487,100
7,091917,BA1655,46,21502,100
7,091917,BA1655,47,21528,100
7,091917,BA1655,48,21568,100
7,091917,BA1655,49,21667,100
7,091917,BA1655,50,21672,300
7,091917,BA1655,51,24280,110
7,091917,BA1655,52,24672,310
7,091917,BA1655,53,24845,100
7,091917,BA1655,54,24879,100
7,091917,BA1655,55,24901,100
7,091917,BA1655,56,24935,100
7,091917,BA1655,57,24970,100
7,091917,BA1655,58,24975,300
7,091917,BA1655,59,26642,100
7,091917,BA1655,60,26658,100
7,091917,BA1655,61,27975,310
7,091917,BA1655,62,28177,100
7,091917,BA1655,63,28196,100
7,091917,BA1655,64,28218,100
7,091917,BA1655,65,28252,100
7,091917,BA1655,66,28303,100
7,091917,BA1655,67,28308,300
7,091917,BA1655,68,28531,100
7,091917,BA1655,69,30568,110
7,091917,BA1655,70,31308,310
7,091917,BA1655,71,31563,100
7,091917,BA1655,72,31587,100
7,091917,BA1655,73,31610,100
7,091917,BA1655,74,31639,100
7,091917,BA1655,75,31679,100
7,091917,BA1655,76,31684,300
7,091917,BA1655,77,34684,310
7,091917,BA1655,78,34836,100
7,091917,BA1655,79,34866,100
7,091917,BA1655,80,34902,100
7,091917,BA1655,81,34933,100
7,091917,BA1655,82,34975,100
7,091917,BA1655,83,34980,300
7,091917,BA1655,84,36157,110
7,091917,BA1655,85,37980,310
7,091917,BA1655,86,38147,100
7,091917,BA1655,87,38158,100
7,091917,BA1655,88,38181,100
7,091917,BA1655,89,38208,100
7,091917,BA1655,90,38234,100
7,091917,BA1655,91,38239,300
7,091917,BA1655,92,38775,110
7,091917,BA1655,93,38800,110
7,091917,BA1655,94,39510,100
7,091917,BA1655,95,41239,310
7,091917,BA1655,96,41322,100
7,091917,BA1655,97,41352,100
7,091917,BA1655,98,41388,100
7,091917,BA1655,99,41410,100
7,091917,BA1655,100,41454,100
7,091917,BA1655,101,41459,300
7,091917,BA1655,102,42834,100
7,091917,BA1655,103,42867,100
7,091917,BA1655,104,44459,310
7,091917,BA1655,105,44687,100
7,091917,BA1655,106,44710,100
7,091917,BA1655,107,44724,100
7,091917,BA1655,108,44741,100
7,091917,BA1655,109,44772,100
7,091917,BA1655,110,44777,300
7,091917,BA1655,111,47777,310
7,091917,BA1655,112,47899,100
7,091917,BA1655,113,47928,100
7,091917,BA1655,114,47954,100
7,091917,BA1655,115,47974,100
7,091917,BA1655,116,48005,100
7,091917,BA1655,117,48010,300
7,091917,BA1655,118,50493,100
7,091917,BA1655,119,51010,310
7,091917,BA1655,120,51066,100
7,091917,BA1655,121,51110,100
7,091917,BA1655,122,51128,100
7,091917,BA1655,123,51146,100
7,091917,BA1655,124,51168,100
7,091917,BA1655,125,51173,300
7,091917,BA1655,126,54173,310
7,091917,BA1655,127,54361,100
7,091917,BA1655,128,54392,100
7,091917,BA1655,129,54437,100
7,091917,BA1655,130,54453,100
7,091917,BA1655,131,54475,100
7,091917,BA1655,132,54480,300
7,091917,BA1655,133,55748,110
7,091917,BA1655,134,56840,100
