passnum,fr,pellets,fr_irt,uor_irt,uol_irt,fr_resps,uo_resps,resps,r_SR,fr_runrate,uo_total,prp,fr_prp,uo_prp,fr_total_Rate,sr_rate,to_sr
1,25,75,0.514,0.0,0.0,1875,2,1877,25.027,121.695,2,3.276,3.058,19.37,97.763,4.803,0.026
1,50,75,0.475,0.0,0.245,3750,3,3753,50.04,128.87,1,8.593,8.637,5.38,92.675,2.543,0.013
1,75,64,0.518,0.0,0.0,4800,5,4805,75.078,117.317,5,12.204,11.615,20.887,89.743,1.564,0.072
1,100,36,0.583,0.0,0.0,3674,7,3681,102.25,103.958,7,15.757,15.709,16.145,81.96,1.019,0.163
1,125,38,0.495,0.0,0.0,4750,5,4755,125.132,122.139,4,33.099,34.188,24.118,81.802,0.977,0.095
1,150,26,0.622,952.37,442.07,3961,16,3977,152.962,105.691,10,71.994,76.852,48.678,54.976,0.637,0.278
1,175,16,0.633,1.145,0.0,2895,9,2904,181.5,101.549,6,150.579,170.458,57.81,40.323,0.527,0.273
1,200,12,0.637,456.767,0.0,2400,8,2408,200.667,95.959,5,168.003,47.058,440.13,74.034,0.473,0.294
1,225,9,0.588,0.0,0.0,2060,4,2064,229.333,102.496,3,256.703,315.447,51.1,35.8,0.448,0.25
2,25,75,0.445,0.0,0.0,1875,1,1876,25.013,142.405,1,2.935,2.826,10.94,106.887,5.543,0.013
2,50,75,0.475,0.0,0.0,3750,0,3750,50.0,128.872,0,7.27,7.27,,95.992,2.543,0.0
2,75,66,0.539,0.0,0.67,4950,8,4958,75.121,112.797,4,13.544,13.114,27.09,84.587,1.504,0.057
2,100,46,0.537,0.0,7.355,4600,14,4614,100.304,115.167,11,9.634,7.5,24.215,99.321,1.128,0.193
2,125,20,0.644,0.0,0.0,2500,5,2505,125.25,93.956,4,168.615,49.484,843.697,61.533,0.752,0.167
2,150,23,0.539,3.335,0.0,3450,6,3456,150.261,111.975,4,38.885,33.615,74.023,82.113,0.746,0.148
2,175,14,0.544,0.0,0.0,2450,1,2451,175.071,110.854,1,48.408,48.408,,75.079,0.633,0.067
2,200,10,0.583,0.0,0.502,2000,10,2010,201.0,104.66,4,21.125,23.415,11.965,84.529,0.517,0.286
2,225,3,0.807,0.0,0.0,677,4,681,227.0,74.83,3,218.85,15.615,625.32,62.028,0.332,0.5
3,25,75,0.507,0.0,0.0,1875,0,1875,25.0,123.373,0,4.991,4.991,,67.686,4.869,0.0
4,25,75,0.558,0.0,0.0,1875,0,1875,25.0,112.104,0,4.574,4.574,,83.76,4.424,0.0
5,25,75,0.574,0.0,0.0,1875,0,1875,25.0,108.93,0,4.329,4.329,,79.349,4.299,0.0
6,25,75,0.559,0.0,0.0,1875,1,1876,25.013,111.82,1,4.085,3.782,26.47,87.483,4.413,0.013
6,275,1,0.626,0.0,0.0,1647,7,1654,1654.0,99.558,6,32.661,24.822,67.935,78.715,0.585,0.857
6,300,1,0.646,28.087,0.0,1832,9,1841,1841.0,97.193,5,26.881,26.322,29.675,69.435,0.562,0.833
