date,trial,fr,fr_prp,uo_prp,uo_resps,uo_fr_resps,uo_uo_resps,localrate,timeouts,p_to,p_to_sr,sr_rate,iri,max_fr
12/11/17,1.0,25,,,0,0,0,34.642,0,0.0,0.0,12.471,4.811,250
12/11/17,2.0,50,13.31,,0,0,0,180.505,0,0.0,0.0,32.491,1.847,250
12/11/17,3.0,75,13.42,,0,0,0,159.348,0,0.0,0.0,19.122,3.138,250
12/11/17,4.0,100,15.23,,0,0,0,61.3,0,0.0,0.0,5.517,10.876,250
12/11/17,5.0,125,14.82,,0,0,0,119.808,0,0.0,0.0,8.626,6.956,250
12/11/17,6.0,150,12.34,98.526666666666685,1,1,0,34.143,3,0.3,0.33333,0.966,62.131,250
12/11/17,7.0,175,14.859999999999999,,0,0,0,120.371,0,0.0,0.0,6.191,9.692,250
12/11/17,8.0,200,130.78,,0,0,0,108.804,0,0.0,0.0,4.896,12.254,250
12/11/17,9.0,225,190.84,,0,0,0,110.502,0,0.0,0.0,4.42,13.574,250
12/11/17,10.0,250,37.899999999999999,2.73,1,0,1,80.622,2,0.2,0.22222,9.108,6.588,250
12/12/17,1.0,25,,,0,0,0,93.4,0,0.0,0.0,29.888,2.008,225
12/12/17,2.0,50,15.359999999999999,,0,0,0,160.6,0,0.0,0.0,25.696,2.335,225
12/12/17,3.0,75,12.859999999999999,,0,0,0,82.252,0,0.0,0.0,8.774,6.839,225
12/12/17,4.0,100,13.800000000000001,,0,0,0,144.928,0,0.0,0.0,11.594,5.175,225
12/12/17,5.0,125,17.739999999999998,0.78000000000000003,4,2,2,106.64,2,0.2222,0.25,6.75,8.889,225
12/12/17,6.0,150,30.329999999999998,,0,0,0,143.839,0,0.0,0.0,7.671,7.821,225
12/12/17,7.0,175,32.770000000000003,92.680000000000007,1,0,1,30.687,2,0.2222,0.25,1.104,54.355,225
12/12/17,8.0,200,124.68000000000001,,0,0,0,85.149,0,0.0,0.0,3.406,17.616,225
12/12/17,9.0,225,*,*,*,*,*,*,*,*,*,*,*,225
12/12/17,10.0,250,*,*,*,*,*,*,*,*,*,*,*,225
12/13/17,1.0,25,,,0,0,0,115.119,0,0.0,0.0,36.838,1.629,225
12/13/17,2.0,50,56.390000000000001,,0,0,0,97.056,0,0.0,0.0,15.529,3.864,225
12/13/17,3.0,75,14.390000000000001,,0,0,0,103.116,0,0.0,0.0,10.999,5.455,225
12/13/17,4.0,100,24.039999999999999,,0,0,0,128.397,0,0.0,0.0,10.272,5.841,225
12/13/17,5.0,125,27.57,,0,0,0,66.483,0,0.0,0.0,4.255,14.101,225
12/13/17,6.0,150,50.68,1.1399999999999999,1,1,0,135.237,1,0.1111,0.125,7.091,8.461,225
12/13/17,7.0,175,25.09,0.56000000000000005,3,1,2,26.582,1,0.1111,0.125,1.213,49.445,225
12/13/17,8.0,200,26.370000000000001,11.710000000000001,1,0,1,38.491,2,0.2222,0.25,1.432,41.898,225
12/13/17,9.0,225,49.969999999999999,12.859999999999999,1,0,1,76.732,3,0.3333,0.375,6.94,8.645,225
12/13/17,10.0,250,*,*,*,*,*,*,*,*,*,*,*,225
12/14/17,1.0,25,,,0,0,0,65.992,0,0.0,0.0,18.478,3.247,175
12/14/17,2.0,50,10.460000000000001,,0,0,0,64.683,0,0.0,0.0,9.056,6.626,175
12/14/17,3.0,75,6.9100000000000001,,0,0,0,125.488,0,0.0,0.0,11.712,5.123,175
12/14/17,4.0,100,18.280000000000001,10.83,1,1,0,76.726,1,0.1429,0.14286,4.718,12.719,175
12/14/17,5.0,125,14.869999999999999,1.05,3,3,0,118.502,1,0.1429,0.14286,6.528,9.191,175
12/14/17,6.0,150,16.210000000000001,,0,0,0,76.943,0,0.0,0.0,3.591,16.71,175
12/14/17,7.0,175,69.019999999999996,50.109999999999999,0,0,0,111.762,1,0.1429,0.14286,2.915,20.58,175
12/14/17,8.0,200,*,*,*,*,*,*,*,*,*,*,*,175
12/14/17,9.0,225,*,*,*,*,*,*,*,*,*,*,*,175
12/14/17,10.0,250,*,*,*,*,*,*,*,*,*,*,*,175
12/15/17,1.0,25,,,0,0,0,45.956,0,0.0,0.0,12.868,4.663,200
12/15/17,2.0,50,18.449999999999999,,0,0,0,160.772,0,0.0,0.0,22.508,2.666,200
12/15/17,3.0,75,61.700000000000003,,0,0,0,122.249,0,0.0,0.0,11.41,5.259,200
12/15/17,4.0,100,19.780000000000001,,0,0,0,62.448,0,0.0,0.0,4.371,13.726,200
