date,passnum,pell25,pell100,fr_irt25,fr_irt100,fr_runrate25,fr_runrate100,prp25,prp100,propBOfr100,propBOfr25,sr_rate25,sr_rate100,resps25,resps100,uo_total25,uo_total100
12/28/17,0,61,16,0.419,0.444,143.24,135.045,4.236,8.881,0.0,0.0,145.585,36.036,1568,1719,0,0
12/29/17,0,66,16,0.404,0.41,148.486,146.512,3.471,11.273,0.0,0.0,163.366,39.024,1700,1770,0,0
12/30/17,0,70,15,0.354,0.437,169.303,137.413,3.477,7.837,0.368,0.22,197.74,34.325,1795,1697,1,3
12/31/17,0,75,15,0.349,0.483,172.108,124.096,2.81,3.554,0.047,0.744,214.9,31.056,1876,1655,0,3
01/01/18,0,73,15,0.346,0.503,173.585,119.382,3.191,3.467,0.0,0.849,210.983,29.821,1846,1610,0,4
01/02/18,0,73,16,0.335,0.469,179.004,127.933,3.326,3.499,0.0,0.442,217.91,34.115,1827,1756,0,2
01/04/18,0,67,12,0.379,0.537,158.173,111.812,3.545,3.552,0.0,0.225,176.781,22.346,1742,1448,0,2
01/05/18,0,72,11,0.337,0.612,177.969,98.006,3.223,3.411,0.048,0.843,213.65,17.974,1821,1263,0,3
01/06/18,0,61,11,0.388,0.541,154.544,110.981,4.325,9.511,0.026,0.227,157.216,20.333,1596,1373,0,2
01/07/18,0,68,14,0.356,0.506,168.76,118.534,4.203,9.377,0.0,0.067,191.011,27.668,1743,1507,0,2
01/08/18,0,62,9,0.388,0.635,154.512,94.549,4.955,6.959,0.0,0.423,159.794,14.173,1591,1308,0,1
01/09/18,0,72,5,0.357,0.63,168.21,95.308,3.808,3.82,0.0,1.193,201.681,7.937,1813,1163,0,2
01/10/18,0,68,10,0.337,0.493,177.842,121.742,4.372,3.445,0.0,0.377,201.78,20.284,1719,1729,0,1
01/11/18,0,72,7,0.332,0.651,180.571,92.186,3.756,3.53,0.0,0.706,216.867,10.753,1822,1202,0,4
01/12/18,0,64,3,0.358,0.817,167.389,73.4,4.892,4.523,0.0,0.735,178.771,3.672,1652,903,0,4
01/13/18,0,69,4,0.338,0.757,177.353,79.262,3.962,5.605,0.0,0.7,204.142,5.284,1772,959,0,4
