date,time,fr25,fr50,fr75,fr100
,0.44,0,*-99,*-99,*-99
,30.53,1,*-99,*-99,*-99
,31.07,1,*-99,*-99,*-99
,34.38,1,*-99,*-99,*-99
,36.96,1,*-99,*-99,*-99
,43.06,1,*-99,*-99,*-99
,49.53,1,*-99,*-99,*-99
,52.79,1,*-99,*-99,*-99
,55.1,1,*-99,*-99,*-99
,55.69,1,*-99,*-99,*-99
,58.87,1,*-99,*-99,*-99
,60.08,1,*-99,*-99,*-99
,60.38,1,*-99,*-99,*-99
,63.32,1,*-99,*-99,*-99
,65.14,1,*-99,*-99,*-99
,66.76,1,*-99,*-99,*-99
,68.01,1,*-99,*-99,*-99
,68.58,1,*-99,*-99,*-99
,69.46,1,*-99,*-99,*-99
,69.74,1,*-99,*-99,*-99
,74.85,1,*-99,*-99,*-99
,75.44,1,*-99,*-99,*-99
,81.94,1,*-99,*-99,*-99
,82.46,1,*-99,*-99,*-99
,86.72,0,*-99,*-99,*-99
,116.88,1,*-99,*-99,*-99
,117.6,1,*-99,*-99,*-99
,156.75,1,*-99,*-99,*-99
,157.37,1,*-99,*-99,*-99
,157.64,1,*-99,*-99,*-99
,159.3,1,*-99,*-99,*-99
,159.56,1,*-99,*-99,*-99
,161.38,1,*-99,*-99,*-99
,161.84,1,*-99,*-99,*-99
,162.24,1,*-99,*-99,*-99
,163.54,1,*-99,*-99,*-99
,163.98,1,*-99,*-99,*-99
,174.83,1,*-99,*-99,*-99
,176.23,1,*-99,*-99,*-99
,178.89,1,*-99,*-99,*-99
,179.74,1,*-99,*-99,*-99
,181.35,1,*-99,*-99,*-99
,181.75,1,*-99,*-99,*-99
,181.8,1,*-99,*-99,*-99
,183.0,1,*-99,*-99,*-99
,183.38,1,*-99,*-99,*-99
,184.68,1,*-99,*-99,*-99
,184.83,1,*-99,*-99,*-99
,185.26,1,*-99,*-99,*-99
,186.11,1,*-99,*-99,*-99
,186.73,1,*-99,*-99,*-99
,186.76,1,*-99,*-99,*-99
,222.39,1,*-99,*-99,*-99
,227.66,0,*-99,*-99,*-99
,263.64,1,*-99,*-99,*-99
,264.75,1,*-99,*-99,*-99
,265.8,1,*-99,*-99,*-99
,266.59,1,*-99,*-99,*-99
,267.21,1,*-99,*-99,*-99
,268.15,1,*-99,*-99,*-99
,268.55,1,*-99,*-99,*-99
,270.37,1,*-99,*-99,*-99
,270.89,1,*-99,*-99,*-99
,272.52,1,*-99,*-99,*-99
,273.29,1,*-99,*-99,*-99
,275.04,1,*-99,*-99,*-99
,275.2,1,*-99,*-99,*-99
,276.35,1,*-99,*-99,*-99
,276.68,1,*-99,*-99,*-99
,278.03,1,*-99,*-99,*-99
,278.41,1,*-99,*-99,*-99
,279.59,1,*-99,*-99,*-99
,279.99,1,*-99,*-99,*-99
,281.34,1,*-99,*-99,*-99
,283.27,1,*-99,*-99,*-99
,284.29,1,*-99,*-99,*-99
,284.98,1,*-99,*-99,*-99
,285.72,1,*-99,*-99,*-99
,321.43,0,*-99,*-99,*-99
,353.19,1,*-99,*-99,*-99
,354.02,1,*-99,*-99,*-99
,354.77,1,*-99,*-99,*-99
,355.64,1,*-99,*-99,*-99
,355.96,1,*-99,*-99,*-99
,357.16,1,*-99,*-99,*-99
,357.5,1,*-99,*-99,*-99
,358.54,1,*-99,*-99,*-99
,358.89,1,*-99,*-99,*-99
,360.41,1,*-99,*-99,*-99
,361.91,1,*-99,*-99,*-99
,363.27,1,*-99,*-99,*-99
,363.95,1,*-99,*-99,*-99
,364.78,1,*-99,*-99,*-99
,365.04,1,*-99,*-99,*-99
,365.54,1,*-99,*-99,*-99
,366.83,1,*-99,*-99,*-99
,367.25,1,*-99,*-99,*-99
,367.93,1,*-99,*-99,*-99
,369.2,1,*-99,*-99,*-99
,371.29,1,*-99,*-99,*-99
,372.26,1,*-99,*-99,*-99
,373.52,1,*-99,*-99,*-99
,374.08,1,*-99,*-99,*-99
,375.62,1,*-99,*-99,*-99
,438.9,1,*-99,*-99,*-99
,439.26,1,*-99,*-99,*-99
,439.46,1,*-99,*-99,*-99
,439.65,1,*-99,*-99,*-99
,440.24,1,*-99,*-99,*-99
,441.42,1,*-99,*-99,*-99
,441.92,1,*-99,*-99,*-99
,442.87,1,*-99,*-99,*-99
,443.2,1,*-99,*-99,*-99
,443.48,1,*-99,*-99,*-99
,444.68,1,*-99,*-99,*-99
,445.01,1,*-99,*-99,*-99
,446.71,1,*-99,*-99,*-99
,447.27,1,*-99,*-99,*-99
,448.94,1,*-99,*-99,*-99
,450.35,1,*-99,*-99,*-99
,451.96,1,*-99,*-99,*-99
,452.55,1,*-99,*-99,*-99
,454.08,1,*-99,*-99,*-99
,454.18,1,*-99,*-99,*-99
,455.11,1,*-99,*-99,*-99
,456.04,1,*-99,*-99,*-99
,458.21,1,*-99,*-99,*-99
,459.03,1,*-99,*-99,*-99
,460.68,1,*-99,*-99,*-99
,498.52,1,*-99,*-99,*-99
,499.43,1,*-99,*-99,*-99
,499.95,1,*-99,*-99,*-99
,500.3,1,*-99,*-99,*-99
,500.76,1,*-99,*-99,*-99
,501.07,1,*-99,*-99,*-99
,501.82,1,*-99,*-99,*-99
,502.44,1,*-99,*-99,*-99
,503.7,1,*-99,*-99,*-99
,504.68,1,*-99,*-99,*-99
,506.38,1,*-99,*-99,*-99
,508.27,1,*-99,*-99,*-99
,508.68,1,*-99,*-99,*-99
,509.33,1,*-99,*-99,*-99
,510.89,1,*-99,*-99,*-99
,511.25,1,*-99,*-99,*-99
,512.82,1,*-99,*-99,*-99
,513.78,1,*-99,*-99,*-99
,515.89,1,*-99,*-99,*-99
,518.41,1,*-99,*-99,*-99
,519.08,1,*-99,*-99,*-99
,520.06,1,*-99,*-99,*-99
,520.73,1,*-99,*-99,*-99
,521.44,1,*-99,*-99,*-99
,523.2,1,*-99,*-99,*-99
,541.36,1,*-99,*-99,*-99
,543.59,0,*-99,*-99,*-99
,575.03,1,*-99,*-99,*-99
,576.3,1,*-99,*-99,*-99
,576.79,1,*-99,*-99,*-99
,578.42,1,*-99,*-99,*-99
,578.93,1,*-99,*-99,*-99
,580.81,1,*-99,*-99,*-99
,583.55,1,*-99,*-99,*-99
,584.16,1,*-99,*-99,*-99
,584.6,1,*-99,*-99,*-99
,585.67,1,*-99,*-99,*-99
,586.01,1,*-99,*-99,*-99
,586.9,1,*-99,*-99,*-99
,587.39,1,*-99,*-99,*-99
,589.22,1,*-99,*-99,*-99
,589.79,1,*-99,*-99,*-99
,590.5,1,*-99,*-99,*-99
,592.24,1,*-99,*-99,*-99
,593.0,1,*-99,*-99,*-99
,594.22,1,*-99,*-99,*-99
,594.65,1,*-99,*-99,*-99
,595.45,1,*-99,*-99,*-99
,596.07,1,*-99,*-99,*-99
,596.99,1,*-99,*-99,*-99
,597.52,1,*-99,*-99,*-99
,625.36,1,*-99,*-99,*-99
,627.42,1,*-99,*-99,*-99
,628.21,1,*-99,*-99,*-99
,629.2,1,*-99,*-99,*-99
,630.14,1,*-99,*-99,*-99
,630.35,1,*-99,*-99,*-99
,630.73,1,*-99,*-99,*-99
,631.26,1,*-99,*-99,*-99
,631.33,1,*-99,*-99,*-99
,632.01,1,*-99,*-99,*-99
,632.25,1,*-99,*-99,*-99
,633.29,1,*-99,*-99,*-99
,634.45,1,*-99,*-99,*-99
,634.91,1,*-99,*-99,*-99
,636.55,1,*-99,*-99,*-99
,637.0,1,*-99,*-99,*-99
,638.92,1,*-99,*-99,*-99
,639.25,1,*-99,*-99,*-99
,639.74,1,*-99,*-99,*-99
,641.82,1,*-99,*-99,*-99
,642.42,1,*-99,*-99,*-99
,643.62,1,*-99,*-99,*-99
,643.85,1,*-99,*-99,*-99
,645.17,1,*-99,*-99,*-99
,646.18,1,*-99,*-99,*-99
,669.42,1,*-99,*-99,*-99
,669.99,1,*-99,*-99,*-99
,677.35,1,*-99,*-99,*-99
,677.66,1,*-99,*-99,*-99
,678.68,1,*-99,*-99,*-99
,679.43,1,*-99,*-99,*-99
,679.89,1,*-99,*-99,*-99
,681.39,1,*-99,*-99,*-99
,681.67,1,*-99,*-99,*-99
,682.51,1,*-99,*-99,*-99
,683.77,1,*-99,*-99,*-99
