	Run	"T-Rate: Rich"	"T-Rate: Lean"		"R-Rate: Rich"	"T-Rate: Lean"		"PRP: Rich→Rich"	"PRP: Rich→Lean"	"PRP: Lean→Rich"	"PRP: Lean→Lean"
5	1	24.86776664	38.02281369		38.438072	53.25758921		3.072	1.392	5.366	3.122
5	2	20.26505404	53.2292406		40.48322838	97.213221		4.386	3.956	10.952	1.144
5	3	27.85638486	65.99208095		41.49650902	107.5268817		1.922	2.692	5.302	0.82
											
10	4	32.66957063	54.60999363		58.04311774	68.313788		3.042	3.026	4.854	1.382
10	5	28.23592686	46.86035614		46.43962848	69.07667511		2.66	5.742	5.468	2.494
10	6	21.72713478	37.92907263		48.61111111	82.01202843		2.48	15.968	12.468	1.038
											
20	7	27.25385015	43.40905802		61.2125923	60.69188752		1.912	13.788	8.878	1.956
20	8	23.17880795	40.93746802		65.39339838	75.04690432		2.178	19.534	13.29	7.112
20	9	39.95940632	47.5096999		84.2471249	74.66401195		1.686	16.642	5.662	1.73
											
40	10	34.55425017	51.94912284		52.18298835	68.13941541		1.868	13.364	3.998	8.434
40	11	47.14016342	31.94969191		64.65517241	60.04288778		1.234	42.112	2.214	30.568
40	12	34.72605005	51.93119117		54.71599792	65.1678071		1.24	15.702	4.126	3.072
40	13	43.33470904	54.86717571		65.78947368	78.5648815		1.082	21.836	2.758	4.552
40	14	40.59278351	51.01498565		57.91505792	64.44856199		1.056	16.44	2.656	3.172
