date,subject,ratio,runnum,trial,frpointer,borpointer,bolpointer,time,fr_irt,event
09/30/17,BA1655,25,1,0,0,0,0,0.0,0.0,300
09/30/17,BA1655,25,1,1,1,0,0,1.22,1.22,120
09/30/17,BA1655,25,1,1,2,0,0,2.18,0.96,120
09/30/17,BA1655,25,1,1,3,0,0,2.51,0.33,120
09/30/17,BA1655,25,1,1,4,0,0,5.45,2.94,120
09/30/17,BA1655,25,1,1,5,0,0,5.57,0.12,120
09/30/17,BA1655,25,1,1,6,0,0,5.99,0.42,120
09/30/17,BA1655,25,1,1,7,0,0,6.23,0.24,120
09/30/17,BA1655,25,1,1,8,0,0,6.56,0.33,120
09/30/17,BA1655,25,1,1,9,0,0,6.93,0.37,120
09/30/17,BA1655,25,1,1,10,0,0,7.25,0.32,120
09/30/17,BA1655,25,1,1,11,0,0,7.81,0.56,120
09/30/17,BA1655,25,1,1,12,0,0,8.14,0.33,120
09/30/17,BA1655,25,1,1,13,0,0,8.24,0.1,120
09/30/17,BA1655,25,1,1,14,0,0,8.76,0.52,120
09/30/17,BA1655,25,1,1,15,0,0,9.18,0.42,120
09/30/17,BA1655,25,1,1,16,0,0,9.38,0.2,120
09/30/17,BA1655,25,1,1,17,0,0,10.21,0.83,120
09/30/17,BA1655,25,1,1,18,0,0,10.52,0.31,120
09/30/17,BA1655,25,1,1,19,0,0,10.81,0.29,120
09/30/17,BA1655,25,1,1,20,0,0,11.93,1.12,120
09/30/17,BA1655,25,1,1,21,0,0,12.26,0.33,120
09/30/17,BA1655,25,1,1,22,0,0,13.23,0.97,120
09/30/17,BA1655,25,1,1,23,0,0,13.53,0.3,120
09/30/17,BA1655,25,1,1,24,0,0,13.86,0.33,120
09/30/17,BA1655,25,1,1,25,0,0,14.18,0.32,120
09/30/17,BA1655,25,1,0,-1,0,0,14.19,0.0,200
09/30/17,BA1655,25,1,0,0,0,0,16.24,2.05,300
09/30/17,BA1655,25,1,2,1,0,0,17.78,1.54,120
09/30/17,BA1655,25,1,2,2,0,0,18.26,0.48,120
09/30/17,BA1655,25,1,2,3,0,0,19.34,1.08,120
09/30/17,BA1655,25,1,2,4,0,0,20.76,1.42,120
09/30/17,BA1655,25,1,2,5,0,0,21.08,0.32,120
09/30/17,BA1655,25,1,2,6,0,0,21.28,0.2,120
09/30/17,BA1655,25,1,2,7,0,0,21.46,0.18,120
09/30/17,BA1655,25,1,2,8,0,0,21.68,0.22,120
09/30/17,BA1655,25,1,2,9,0,0,22.23,0.55,120
09/30/17,BA1655,25,1,2,10,0,0,22.52,0.29,120
09/30/17,BA1655,25,1,2,11,0,0,22.68,0.16,120
09/30/17,BA1655,25,1,2,12,0,0,23.43,0.75,120
09/30/17,BA1655,25,1,2,13,0,0,24.04,0.61,120
09/30/17,BA1655,25,1,2,14,0,0,24.26,0.22,120
09/30/17,BA1655,25,1,2,15,0,0,24.82,0.56,120
09/30/17,BA1655,25,1,2,16,0,0,25.12,0.3,120
09/30/17,BA1655,25,1,2,17,0,0,25.32,0.2,120
09/30/17,BA1655,25,1,2,18,0,0,25.59,0.27,120
09/30/17,BA1655,25,1,2,19,0,0,26.17,0.58,120
09/30/17,BA1655,25,1,2,20,0,0,27.62,1.45,120
09/30/17,BA1655,25,1,2,21,0,0,27.92,0.3,120
09/30/17,BA1655,25,1,2,22,0,0,28.24,0.32,120
09/30/17,BA1655,25,1,2,23,0,0,31.6,3.36,120
09/30/17,BA1655,25,1,2,24,0,0,32.36,0.76,120
09/30/17,BA1655,25,1,2,25,0,0,32.71,0.35,120
09/30/17,BA1655,25,1,0,-1,0,0,32.72,0.0,200
09/30/17,BA1655,25,1,0,0,0,0,34.77,2.05,300
09/30/17,BA1655,25,1,0,0,1,0,39.13,0.0,130
09/30/17,BA1655,25,1,0,0,0,0,39.14,0.0,400
09/30/17,BA1655,25,1,0,0,2,0,39.65,0.0,110
09/30/17,BA1655,25,1,0,0,0,1,45.1,0.0,100
09/30/17,BA1655,25,1,0,0,0,2,45.27,0.0,100
09/30/17,BA1655,25,1,0,0,0,3,45.55,0.0,100
09/30/17,BA1655,25,1,0,0,0,4,46.0,0.0,100
09/30/17,BA1655,25,1,0,0,0,5,46.22,0.0,100
09/30/17,BA1655,25,1,0,0,0,6,46.53,0.0,100
09/30/17,BA1655,25,1,0,0,0,7,48.19,0.0,100
09/30/17,BA1655,25,1,0,0,0,8,48.6,0.0,100
09/30/17,BA1655,25,1,0,0,0,9,49.15,0.0,100
09/30/17,BA1655,25,1,0,0,0,10,49.46,0.0,100
09/30/17,BA1655,25,1,0,0,0,11,49.6,0.0,100
09/30/17,BA1655,25,1,0,0,0,12,49.91,0.0,100
09/30/17,BA1655,25,1,0,0,0,13,50.2,0.0,100
09/30/17,BA1655,25,1,0,0,0,14,50.41,0.0,100
09/30/17,BA1655,25,1,0,0,0,15,50.65,0.0,100
09/30/17,BA1655,25,1,0,0,0,16,51.0,0.0,100
09/30/17,BA1655,25,1,0,0,0,17,51.26,0.0,100
09/30/17,BA1655,25,1,0,0,0,18,51.83,0.0,100
09/30/17,BA1655,25,1,0,0,0,19,52.17,0.0,100
09/30/17,BA1655,25,1,0,0,0,20,52.49,0.0,100
09/30/17,BA1655,25,1,0,0,0,21,53.29,0.0,100
09/30/17,BA1655,25,1,0,0,0,22,54.09,0.0,100
09/30/17,BA1655,25,1,0,0,0,23,54.57,0.0,100
09/30/17,BA1655,25,1,0,0,0,24,54.81,0.0,100
09/30/17,BA1655,25,1,0,0,0,25,55.01,0.0,100
09/30/17,BA1655,25,1,0,0,0,26,55.9,0.0,100
09/30/17,BA1655,25,1,0,0,0,27,56.27,0.0,100
09/30/17,BA1655,25,1,0,0,0,28,56.52,0.0,100
09/30/17,BA1655,25,1,0,0,0,29,56.76,0.0,100
09/30/17,BA1655,25,1,0,0,0,30,57.04,0.0,100
09/30/17,BA1655,25,1,0,0,0,31,57.38,0.0,100
09/30/17,BA1655,25,1,0,0,0,32,58.16,0.0,100
09/30/17,BA1655,25,1,0,0,0,33,59.47,0.0,100
09/30/17,BA1655,25,1,0,0,0,34,59.95,0.0,100
09/30/17,BA1655,25,1,0,0,0,35,60.2,0.0,100
09/30/17,BA1655,25,1,0,0,0,36,60.51,0.0,100
09/30/17,BA1655,25,1,0,0,0,37,61.86,0.0,100
09/30/17,BA1655,25,1,0,0,0,38,63.4,0.0,100
09/30/17,BA1655,25,1,0,0,0,39,63.92,0.0,100
09/30/17,BA1655,25,1,0,0,0,40,64.19,0.0,100
09/30/17,BA1655,25,1,0,0,0,41,64.42,0.0,100
09/30/17,BA1655,25,1,0,0,0,42,64.72,0.0,100
09/30/17,BA1655,25,1,0,0,0,43,65.62,0.0,100
09/30/17,BA1655,25,1,0,0,0,44,65.82,0.0,100
09/30/17,BA1655,25,1,0,0,0,45,66.51,0.0,100
09/30/17,BA1655,25,1,0,0,0,46,66.7,0.0,100
09/30/17,BA1655,25,1,0,0,0,0,69.14,0.0,410
09/30/17,BA1655,25,1,3,1,0,0,70.18,1.04,120
09/30/17,BA1655,25,1,3,2,0,0,70.58,0.4,120
09/30/17,BA1655,25,1,3,3,0,0,70.87,0.29,120
09/30/17,BA1655,25,1,3,4,0,0,71.4,0.53,120
09/30/17,BA1655,25,1,3,5,0,0,71.69,0.29,120
09/30/17,BA1655,25,1,3,6,0,0,72.0,0.31,120
09/30/17,BA1655,25,1,3,7,0,0,72.47,0.47,120
09/30/17,BA1655,25,1,3,8,0,0,73.41,0.94,120
09/30/17,BA1655,25,1,3,9,0,0,73.71,0.3,120
09/30/17,BA1655,25,1,3,10,0,0,73.99,0.28,120
09/30/17,BA1655,25,1,3,11,0,0,74.59,0.6,120
09/30/17,BA1655,25,1,3,12,0,0,75.52,0.93,120
09/30/17,BA1655,25,1,3,13,0,0,76.21,0.69,120
09/30/17,BA1655,25,1,3,14,0,0,76.83,0.62,120
09/30/17,BA1655,25,1,3,15,0,0,76.98,0.15,120
