date,fr,runnum,pellets,fr_irt,uor_irt,uol_irt,fr_resps,uo_resps,resps,r_SR,fr_rate
09/30/17,25,1,75,0.681,113.195,2.838,1875,51,1926,27.027,88.169
10/01/17,25,2,75,0.899,0.0,0.0,1875,0,1875,26.338,66.762
10/02/17,25,3,75,0.599,0.0,0.0,1875,2,1877,26.365,100.163
10/03/17,25,4,75,1.629,196.347,230.824,1875,24,1899,26.662,36.838
10/04/17,25,5,75,0.546,0.0,0.0,1875,0,1875,26.338,109.869
10/05/17,25,6,75,0.488,0.0,0.0,1875,0,1875,26.338,123.06
10/06/17,25,7,75,0.464,0.0,0.0,1875,0,1875,26.338,129.295
10/07/17,25,8,75,0.414,0.0,0.0,1875,0,1875,26.338,144.804
10/08/17,25,9,75,0.396,0.0,0.0,1875,0,1875,26.338,151.687
10/09/17,25,10,75,0.493,0.0,0.0,1875,0,1875,26.338,121.603
10/10/17,25,11,75,0.355,0.0,0.0,1875,0,1875,26.338,169.008
10/11/17,50,12,75,0.416,0.0,0.0,3750,0,3750,51.676,144.337
10/12/17,50,13,75,0.404,0.0,0.0,3750,0,3750,51.676,148.422
10/13/17,50,14,75,0.378,0.0,0.25,3750,4,3754,51.73,158.558
10/14/17,50,15,75,0.403,0.0,0.0,3750,0,3750,51.676,148.922
10/15/17,50,16,75,0.418,0.0,0.0,3750,0,3750,51.676,143.458
10/16/17,50,17,75,0.454,0.0,0.0,3750,0,3750,51.676,132.24
10/17/17,50,18,75,0.47,0.0,0.0,3750,0,3750,51.676,127.758
10/18/17,75,19,75,0.487,0.0,0.0,5625,0,5625,77.014,123.249
10/19/17,75,20,75,0.483,0.0,0.672,5625,13,5638,77.189,124.323
10/21/17,75,21,75,0.441,0.0,0.0,5625,0,5625,77.014,136.164
10/22/17,75,22,75,0.505,0.0,0.0,5625,0,5625,77.014,118.763
10/23/17,75,23,75,0.427,0.0,0.0,5625,0,5625,77.014,140.48
