ycol,frmain,frr25,frr100,pellets25,pellets100,toi25,toi100,tor25,tor100
1,0.0,0.0,,,,,,,
2,8.97,8.97,,,,,,,
3,9.37,9.37,,,,,,,
4,11.16,11.16,,,,,,,
5,12.64,12.64,,,,,,,
6,13.32,13.32,,,,,,,
7,13.51,13.51,,,,,,,
8,13.68,13.68,,,,,,,
9,13.9,13.9,,,,,,,
10,14.49,14.49,,,,,,,
11,15.66,15.66,,,,,,,
12,16.0,16.0,,,,,,,
13,16.12,16.12,,,,,,,
14,16.2,16.2,,,,,,,
15,16.34,16.34,,,,,,,
16,16.54,16.54,,,,,,,
17,16.7,16.7,,,,,,,
18,16.95,16.95,,,,,,,
19,17.43,17.43,,,,,,,
20,18.88,18.88,,,,,,,
21,18.94,18.94,,,,,,,
22,19.01,19.01,,,,,,,
23,19.09,19.09,,,,,,,
24,19.3,19.3,,,,,,,
25,19.37,19.37,,,,,,,
26,19.52,19.52,,,,,,,
27,19.52,,,19.52,,,,,
28,31.82,31.82,,,,,,,
29,35.98,,,,,35.98,,,
30,36.35,,,,,,,36.35,
31,45.98,,,,,45.98,,,
32,48.0,48.0,,,,,,,
33,50.8,50.8,,,,,,,
34,51.14,51.14,,,,,,,
35,51.48,51.48,,,,,,,
36,53.06,53.06,,,,,,,
37,53.51,53.51,,,,,,,
38,53.98,53.98,,,,,,,
39,54.11,54.11,,,,,,,
40,54.24,54.24,,,,,,,
41,54.35,54.35,,,,,,,
42,54.63,54.63,,,,,,,
43,55.47,55.47,,,,,,,
44,55.63,55.63,,,,,,,
45,55.72,55.72,,,,,,,
46,55.79,55.79,,,,,,,
47,55.87,55.87,,,,,,,
48,55.98,55.98,,,,,,,
49,56.14,56.14,,,,,,,
50,56.29,56.29,,,,,,,
51,57.7,57.7,,,,,,,
52,57.82,57.82,,,,,,,
53,58.3,58.3,,,,,,,
54,58.39,58.39,,,,,,,
55,58.75,58.75,,,,,,,
56,58.75,,,58.75,,,,,
57,80.82,80.82,,,,,,,
58,81.56,81.56,,,,,,,
59,82.46,82.46,,,,,,,
60,104.14,104.14,,,,,,,
61,104.64,104.64,,,,,,,
62,105.62,105.62,,,,,,,
63,106.52,106.52,,,,,,,
64,106.97,106.97,,,,,,,
65,107.14,107.14,,,,,,,
66,107.27,107.27,,,,,,,
67,108.88,108.88,,,,,,,
68,109.43,109.43,,,,,,,
69,109.72,109.72,,,,,,,
70,109.87,109.87,,,,,,,
71,111.66,111.66,,,,,,,
72,111.95,111.95,,,,,,,
73,113.64,113.64,,,,,,,
74,113.79,113.79,,,,,,,
75,114.08,114.08,,,,,,,
76,114.54,114.54,,,,,,,
77,116.1,116.1,,,,,,,
78,116.51,116.51,,,,,,,
79,116.62,116.62,,,,,,,
80,116.74,116.74,,,,,,,
81,116.82,116.82,,,,,,,
82,116.82,,,116.82,,,,,
83,139.99,139.99,,,,,,,
84,141.67,,,,,141.67,,,
85,151.67,,,,,151.67,,,
86,158.74,158.74,,,,,,,
87,161.94,161.94,,,,,,,
88,162.8,162.8,,,,,,,
89,164.26,164.26,,,,,,,
90,164.56,164.56,,,,,,,
91,165.05,165.05,,,,,,,
92,165.25,165.25,,,,,,,
93,165.51,165.51,,,,,,,
94,166.21,166.21,,,,,,,
95,166.99,166.99,,,,,,,
96,167.42,167.42,,,,,,,
97,167.57,167.57,,,,,,,
98,167.72,167.72,,,,,,,
99,167.91,167.91,,,,,,,
100,168.07,168.07,,,,,,,
101,168.25,168.25,,,,,,,
102,169.62,169.62,,,,,,,
103,170.16,170.16,,,,,,,
104,170.46,170.46,,,,,,,
105,170.81,170.81,,,,,,,
106,172.15,172.15,,,,,,,
107,172.55,172.55,,,,,,,
108,172.63,172.63,,,,,,,
109,172.69,172.69,,,,,,,
110,172.69,,,172.69,,,,,
111,180.09,,180.09,,,,,,
112,185.14,,,,,,185.14,,
113,195.14,,,,,,195.14,,
114,202.59,,,,,,202.59,,
115,212.59,,,,,,212.59,,
116,220.25,,220.25,,,,,,
117,222.48,,222.48,,,,,,
118,233.9,,233.9,,,,,,
119,239.51,,,,,,239.51,,
120,249.51,,,,,,249.51,,
121,253.58,,253.58,,,,,,
122,254.04,,254.04,,,,,,
123,254.44,,254.44,,,,,,
124,254.66,,254.66,,,,,,
125,254.82,,254.82,,,,,,
126,254.98,,254.98,,,,,,
127,255.2,,255.2,,,,,,
128,255.97,,255.97,,,,,,
129,256.46,,256.46,,,,,,
130,256.86,,256.86,,,,,,
131,257.24,,257.24,,,,,,
132,258.56,,258.56,,,,,,
133,258.83,,258.83,,,,,,
134,259.3,,259.3,,,,,,
135,259.61,,259.61,,,,,,
136,259.72,,259.72,,,,,,
137,259.83,,259.83,,,,,,
138,261.39,,261.39,,,,,,
139,261.67,,261.67,,,,,,
140,261.94,,261.94,,,,,,
141,262.0,,262.0,,,,,,
142,262.06,,262.06,,,,,,
143,262.15,,262.15,,,,,,
144,262.22,,262.22,,,,,,
145,262.31,,262.31,,,,,,
146,262.37,,262.37,,,,,,
147,262.52,,262.52,,,,,,
148,262.83,,262.83,,,,,,
149,264.54,,264.54,,,,,,
150,264.92,,264.92,,,,,,
151,265.11,,265.11,,,,,,
152,265.2,,265.2,,,,,,
153,265.27,,265.27,,,,,,
154,265.38,,265.38,,,,,,
155,265.45,,265.45,,,,,,
156,265.52,,265.52,,,,,,
157,265.58,,265.58,,,,,,
158,265.79,,265.79,,,,,,
159,266.26,,266.26,,,,,,
160,266.44,,266.44,,,,,,
161,268.25,,268.25,,,,,,
162,268.48,,268.48,,,,,,
163,268.7,,268.7,,,,,,
164,268.77,,268.77,,,,,,
165,269.33,,269.33,,,,,,
166,269.4,,269.4,,,,,,
167,269.62,,269.62,,,,,,
168,269.77,,269.77,,,,,,
169,269.88,,269.88,,,,,,
170,272.05,,272.05,,,,,,
171,272.41,,272.41,,,,,,
172,272.64,,272.64,,,,,,
173,274.09,,274.09,,,,,,
174,274.46,,274.46,,,,,,
175,274.86,,274.86,,,,,,
176,276.5,,276.5,,,,,,
177,276.93,,276.93,,,,,,
178,277.04,,277.04,,,,,,
179,277.1,,277.1,,,,,,
180,277.17,,277.17,,,,,,
181,277.26,,277.26,,,,,,
182,277.32,,277.32,,,,,,
183,277.39,,277.39,,,,,,
184,277.66,,277.66,,,,,,
185,277.97,,277.97,,,,,,
186,279.15,,279.15,,,,,,
187,279.39,,279.39,,,,,,
188,279.45,,279.45,,,,,,
189,279.52,,279.52,,,,,,
190,279.61,,279.61,,,,,,
191,279.71,,279.71,,,,,,
192,280.09,,280.09,,,,,,
193,280.42,,280.42,,,,,,
194,280.84,,280.84,,,,,,
195,282.61,,282.61,,,,,,
196,282.98,,282.98,,,,,,
197,283.06,,283.06,,,,,,
198,283.16,,283.16,,,,,,
199,283.23,,283.23,,,,,,
200,283.3,,283.3,,,,,,
201,283.41,,283.41,,,,,,
202,283.63,,283.63,,,,,,
203,283.92,,283.92,,,,,,
204,284.1,,284.1,,,,,,
205,284.52,,284.52,,,,,,
206,286.19,,286.19,,,,,,
207,286.58,,286.58,,,,,,
208,286.64,,286.64,,,,,,
209,286.74,,286.74,,,,,,
210,286.84,,286.84,,,,,,
211,286.9,,286.9,,,,,,
212,286.96,,286.96,,,,,,
213,287.17,,287.17,,,,,,
214,288.91,,288.91,,,,,,
215,289.17,,289.17,,,,,,
216,289.93,,289.93,,,,,,
217,290.25,,290.25,,,,,,
218,290.25,,,,290.25,,,,
219,304.84,,304.84,,,,,,
220,305.45,,305.45,,,,,,
221,306.07,,306.07,,,,,,
222,306.31,,306.31,,,,,,
223,306.55,,306.55,,,,,,
224,306.84,,306.84,,,,,,
225,307.7,,307.7,,,,,,
226,307.86,,307.86,,,,,,
227,308.06,,308.06,,,,,,
228,309.57,,309.57,,,,,,
229,310.0,,310.0,,,,,,
230,310.26,,310.26,,,,,,
231,310.41,,310.41,,,,,,
232,310.72,,310.72,,,,,,
233,311.17,,311.17,,,,,,
234,311.38,,311.38,,,,,,
235,312.74,,312.74,,,,,,
236,312.93,,312.93,,,,,,
237,313.02,,313.02,,,,,,
238,313.23,,313.23,,,,,,
239,313.4,,313.4,,,,,,
240,313.63,,313.63,,,,,,
241,313.83,,313.83,,,,,,
242,315.16,,315.16,,,,,,
243,315.33,,315.33,,,,,,
244,315.42,,315.42,,,,,,
245,315.55,,315.55,,,,,,
246,315.96,,315.96,,,,,,
247,316.22,,316.22,,,,,,
248,317.99,,317.99,,,,,,
249,318.46,,318.46,,,,,,
250,318.54,,318.54,,,,,,
251,318.62,,318.62,,,,,,
252,318.71,,318.71,,,,,,
253,318.78,,318.78,,,,,,
254,318.89,,318.89,,,,,,
255,319.06,,319.06,,,,,,
256,319.43,,319.43,,,,,,
257,319.73,,319.73,,,,,,
258,320.1,,320.1,,,,,,
259,322.91,,322.91,,,,,,
260,323.1,,323.1,,,,,,
261,323.3,,323.3,,,,,,
262,323.64,,323.64,,,,,,
263,324.07,,324.07,,,,,,
264,325.86,,325.86,,,,,,
265,326.59,,326.59,,,,,,
266,327.14,,327.14,,,,,,
267,327.88,,327.88,,,,,,
268,328.14,,328.14,,,,,,
269,328.3,,328.3,,,,,,
270,328.59,,328.59,,,,,,
271,328.95,,328.95,,,,,,
272,329.31,,329.31,,,,,,
273,330.8,,330.8,,,,,,
274,331.24,,331.24,,,,,,
